stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,37.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.74,13.24,8.61,0,0,3.55,0,0,4.1,0,0,0,0,0,0,0,0,83.51,9.68,0,0,39.82,0,0,0,0,0,0,0
 10-12,0,0,3.13,0,0,18.44,0,0,7.19,0,0,0,0,0,0,0,0,52.85,5.94,0,0,32.49,0,0,5.54,0,0,0,0
 14-21,0,0,0,5.17,0,1.41,0,0,0,0,0,0,119.1,0,3.85,0,0.87,34.38,0,0,1.09,0,0,4.4,0.85,10.32,8.14,0,0
 24-34,0,0,0.85,0,0,0,0.7,0,0,0.85,0,0,59.7,0,2.1,0,2.3,39.94,0,0,0,0,0.7,0,0,2.18,7.69,0.94,0
 36-46,0,0,0,2.04,0,5.64,1.28,0.56,0,0,0,0,10.08,0,7.81,0,1.32,64.63,0,0,0,0,0,0,0,0,12.57,0,0
 48-58,0,0,0,1.19,0,14.7,2.59,1.53,0,0,0,1.43,6.28,0,1.71,0,0.38,31.22,0,0,0,0,0,0,0,0,12.01,0,0
 60-70,0,0,0,0,0.61,0.9,1.92,2.86,0,0,0,0,22.55,0,0.66,0,0,13.03,0,0,0,0,3.05,0,0,0,3.02,0.9,0
 72-82,0,0,0,0,0,6.64,1.23,24.48,0,0,0,0,29.93,0,0.87,0,0,39.54,0,0,0,0,0,0,0,0,7.02,2.43,0
 84-94,0,0,0,0,1.22,0.55,2.57,34.03,0,0,0,0,42.65,0,3.22,0,0,54.25,0,1.7,0,0,0,0,0,0,0,0,1.97
 96-106,0,0,1.23,2.09,5.87,2.62,2.11,50.82,0,0,0,0.63,41.44,0,3.25,0,1.64,33.01,0,0,2.43,0,1.4,0,0,0,0,0,0
108-118,0,0,1.19,0.93,0,10.28,0.9,22.43,0,0,2.75,0,42.79,0.9,1.06,2.11,1.31,27.35,0,0,0.99,0,0,0,0,0,4.65,0,0
120,0,0,0,0,0,1.16,19.34,15.56,0,2,0,0,12.82,0,4.17,0,0,19.84,0,0,0,0,0,0,0,0,0,0,0
