stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,55.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,40.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.16,0,0,0,8.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,7.31,0,0,0,0,0
 14-21,0,0,0,0,7.03,14.88,0,0,0,0,4.26,6.49,0,0,0,0,0,0,16.26,0,0,0,9.93,18.25,5.23,0,17.32,0,1.63,59.94,0,0,193.34,120.23,0,0
 24-34,0,0,0,0,19.67,11.33,7.2,0,6.44,122.52,18.2,18.32,0,1.58,0,0,0,0,30.87,0,0,85.79,64.04,64.46,1.76,0,0,0,2.39,5.53,1.84,6.35,648.8,476.87,2.87,0
 36-46,0,0,0,0,0.73,0,2.07,0,54.57,246.23,11.04,20.08,3.72,0,0,0,0,0,52.32,0,1.42,97.84,48.67,14.27,0,0,0,0,0,0,0,12.42,0.83,286.16,8.03,0
 48-58,0,0,0,0,0,0,10.48,1.75,23.87,247.38,13.82,10,0,0,0,0,14.56,0,38.79,0,11.5,31.98,53.04,3.34,0,0,0,0,0,0,0,8.41,0,238.93,2.22,7.98
 60-70,0,0,0,0,0.76,0,4.77,0.65,17.64,191.37,10.47,18.4,0,0,0.67,0,1.98,0,41.23,0,2.36,24.02,14.8,0,0,1.23,0,0,0,0,0,4.94,0,147.59,0,11.48
 72-82,0,0,1.77,0,0,0,26.35,0,3.86,237.62,28.37,27.6,0,0,0,0,0,0.49,32.05,0,20.01,17.37,27.4,1.36,0,0,0,2.24,0,0,0,0,0,147.15,0,50.64
 84-94,0.62,0,0,0,1.89,0,23.95,0,6.81,208.26,29.46,51.42,0,0,0,2.69,0,1.36,43.62,0,13.57,12.1,38.25,0,0,0,0,0,0,0,0.73,0.97,0,166.81,0.59,56.98
 96-106,0,0,13.84,1.61,3.53,5.55,17.49,0,15.51,210.25,8.79,59.97,0,0,1.06,0,0,0,32.68,0,12.65,21.07,32.03,0.89,0,0,0,0,9.93,0,0,0,0,81.24,1.13,34.19
108-118,0,0,1.18,0,0.49,0,18.65,0.43,7.84,169.11,17.75,40.31,0.81,0,0,0,0,0,58.92,1.55,15.52,4.41,44.42,1.49,1.19,0,0,0,0,0,0.62,0.69,0,61.58,7.9,56.77
120,0,0,0,0,0,0,11.91,0,2.41,141.85,1.51,21.52,0,0,6.44,0,0,0,50.39,0,8.8,4.41,10.7,7.1,0,0,0,0,0,0,0,0,0,17.03,15,62.13
