stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,101.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0
  5-6,0,49.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.03,0,0,8.68,0,0,0,0,13.96,0,0,0,0,0,0,0,0,0,0,0,127.73,0,0,0,46.72,0,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,26.64,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,79.83,12.38,0,0,29.94,0,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,1.03,15.79,2.09,1.8,0.95,0,0,0,0,0,0,0.86,0,0,0,0,5.94,0,0,4.43,22.86,4.19,0,0,0,0,15.78,9.35,2.04,0,3.29,24.76,0,0,0
 24-34,0,0,0,4.53,0,2.1,0.7,0,1.53,0,0,0,1.71,0,0,0,0.66,0.87,5.93,0,0,4.38,34.56,0,0,0,0,0,26.79,0,0.79,0,0,16.94,9.68,0,0
 36-46,0,0,0,4.62,0,1.66,0,0,7.66,0.59,0,0,1.38,0,0,0,0,2.63,19.63,0,0,7.13,32.27,0.62,1.02,0,0,0,36.79,0,5.91,0,0,11.75,9.04,0,0.68
 48-58,0,0,0,0,0,12.4,1.71,0,6.13,0,3.47,0,0.71,0,4.71,0,0,0,9.43,0,0,0.57,28.67,2.29,0.41,0,0,0,4.45,0,0,0,0,5.72,13.31,0,3.73
 60-70,0,0,0,1.51,0,6.19,0,0,23.2,0,0,0,0,0,0,0,0,3.27,21.08,0,0,0,22.68,0.66,0,0,0,0,19.96,0,0.63,1.58,0,4.21,0.57,0,0
 72-82,0,0,0,1.82,0,4.59,0,0.84,17.57,0,0,0.5,1.22,0,0,0,0.79,0,23.93,0,0.7,0,3.35,0,2.21,0.59,0,0,3.19,0,0,0,0,3.11,5.5,0,0
 84-94,0,0,0,11.15,0,1.94,0,0,14.94,4.15,0,0,0.63,0,1.9,0,0,0,22.03,0,0,2.11,0,0,0,0,0,0,15.6,0,0,0,0,0,30.24,0,0
 96-106,0,0,0,7.69,0,2.36,1.92,0,14.81,0,0,0,3.96,0,1.55,0.79,0,0,17.57,0,0,0,0.88,0,0,0.85,0,0,13.81,0,0,0,0,0,8.09,0,0
108-118,0,0,0,7.4,0.47,7.85,4.19,0,20.05,3.68,0,0,2.19,1.36,1.26,0,0,0.51,25.84,0.53,0,0.45,1.1,1.55,0,0.9,0,1.02,25.46,0,0.72,0,0,0,12.61,0.87,0.77
120,0,0,0,7.58,0,0,12.69,0,31.57,0,0,0,12.49,0,0,0,0,0,10.93,0,0,0,20.71,0,0,0,0,0,1.57,0,0,0,0,3.82,5.36,0,0
