stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,10.75,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.55,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,0,0,72.64,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,11.82,0,0,0,0,0,2.03,0.92,0,0,0,0,0,0,0,0,1.16,0,0,3.78,40.08,2.74,0,0,0.87,0,4.94,1.68,0,0.94,23.64,0,0,2.07,0,0
 24-34,0,0,0.59,9.95,1.48,4.78,0,0,0,1.88,0,0,1.39,0,3.11,0,1.51,0,1.23,8.12,0.61,0,2.03,392.29,2.65,5.77,0,0,0,0,0,1.1,1.88,86.92,0,0,10.83,0,0.95
 36-46,0,0,0,33.23,0,37.28,0,1.98,0,17.61,0,0,11.39,0,6.63,0,0,0,1.47,19.46,0,0,4.23,1103.5,0.58,18.47,0,0,0,9.71,4.98,0,1.09,253.96,0,0,7.95,0,11.02
 48-58,0,0,0,30.43,0,125.19,3.43,10.42,0.47,16.46,0,0,2.67,0,0,0,0,0,6.91,30.15,0.82,0,1.25,1401.35,0,8.57,0,0,0,9.46,0.61,1.52,0,281.85,0,0,2.24,0,12
 60-70,0,0,0,79.99,0,440.36,2.07,4.66,2.18,34.36,0,0,0.88,0,0.75,0,0,0,11.22,44.97,2.41,1.78,1.39,1805.62,3.9,7.9,0.62,0,1.9,17.75,0.58,2.41,0,266.59,0.84,1.94,2.68,0,15.17
 72-82,0,0,0,44.29,0.53,418.8,0,0,3.7,43.01,1.72,0,1.02,2.57,3.58,8.35,1.39,0,1.09,58.55,0,1.61,0.8,1257.78,0,7.96,0.87,0,1.12,2.56,0.6,0,0,165.74,0,0,18.11,1.68,3.45
 84-94,0,0,0,152.2,0,295.01,0,9.97,1.83,43.3,3.73,0,2.32,0.59,3.94,3.68,1.91,0,7.77,33.09,0.88,4.74,6.51,1002.13,0.74,8.17,1.41,0,0,6.94,5.45,0,0,154.86,0,7.43,13.35,0.98,3.73
 96-106,0,0,0,89.87,0,391.13,0.57,6.37,10.1,35.91,4.65,0,0,0,8.12,0.61,2.28,0,1.38,35.15,0.56,1.9,5.95,623.55,0,10.98,4.02,0,4.56,15.48,0,4.28,0,57.11,0.7,2.08,4.73,1.61,1.92
108-118,0,2.52,0,145.19,0,212.74,7.36,5.18,2.94,40.5,8.43,2.74,0,0,5.88,0,3.21,0.43,4.03,40.29,2.03,7.79,2.6,589.28,0,21.01,0.77,0,1.33,1.83,0.43,1.57,0,30.35,5.82,2.41,10.19,1.9,11.94
120,0,0,0,110.47,0,155.44,0,11.42,0,33.08,3.65,0,0,0,3.28,0,0,0,4.02,68.7,1.72,0,8.12,640.59,0,10.94,0,0,0,11.22,5.04,2.35,0,15.2,1.94,8,5.65,0,8.94
