stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.37,557.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.88,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.68,907.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.09,0,0,0,0,0,49.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,27.83,0,19.69,0,0,0,83.45,0,0,0,0,32.93,0,0,0,0,0,0,0,0,0,0,0,612.61,58.53,0,0,171.33,0,62.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.2,0,83.78,0,0,0,75.44,0,0,0,0,20.62,0,0,0,0,0,0,0,0,0,0,0,713.94,33.85,0,0,366.13,0,8.14,5.47,0,8.13,0,0,3.51,0,0,0,0,0
 14-21,0,1.36,1.23,9.72,249.21,13.42,0,41.32,6.21,0,14.54,11.09,1.86,0,3.87,6.35,2.93,4.05,3.95,7.52,86.52,0,0,78.75,459.79,34.32,2.78,7.92,11.03,0,56.1,0,63.96,12.12,0,34.44,213.01,0,0,16.74,0,7.9
 24-34,0,0,2.04,6.99,74.81,4.75,0,120.08,12.47,4.53,33.64,4.87,9.45,5.2,26.4,18.31,13.19,3.89,4.06,24.34,249.45,7.04,1.52,138.84,1086.26,10.74,19.71,8.83,0,0,81.55,0,0,10.71,6.66,9.31,244.27,0,0,76.14,0,29.12
 36-46,0,0,0,0,17.94,1.18,0,146.54,6.03,15.52,52.34,0.72,0,5.01,21.96,0,2.66,6.03,2.27,22.88,233.2,0,4.72,74.43,866.26,3.34,39.6,3.11,0,0.97,142.45,0,0,8.55,0,0,207.9,0,0,28.69,0,15.49
 48-58,0,0,0.46,0.42,23.76,0,0,243.48,4.17,23.07,136.71,1.01,11.47,3.59,19.29,0.98,4.02,7.23,1.52,18.38,251.38,5.72,1.81,53.23,590.63,9.73,19.96,11.92,0,0.96,100.85,0.56,0,8.18,0,0,177.51,0,0,51.55,0,14.85
 60-70,0,0,0.89,0,24.58,1.41,0,378.4,9.47,26.38,156.42,1.63,1.91,3.48,28.84,1.7,7.15,11.51,12.61,3.38,269.76,3.18,5.07,29.78,460.01,0,15.13,4.22,0,6.02,87.96,0,0,4.82,0,0,112.7,0,6.6,30.39,0.89,24.75
 72-82,0,0,4.18,0,20.66,23.73,0,497.48,1.46,18.84,140.89,6.63,6.47,8.34,35.34,7.1,3.09,6.02,7.59,0.98,453.74,3.23,7.47,31.92,484.16,1.28,32.21,22.03,0,3.76,55.99,0.56,0,14.62,0,0,57.75,6.13,13.85,46.56,7.99,18.91
 84-94,0,0,2.42,0,66.49,24.82,0,360.58,21.1,20.18,150.6,25.64,10.44,0.85,51.26,8.72,10.63,7.49,1.74,4.14,341.35,6.78,17.28,35.05,338.04,3.69,23.98,21.12,0,2.47,158.03,0,0,31.88,0.63,0,49.87,9.78,9.26,66.22,6.59,25.61
 96-106,0,0,4.28,0,60.09,33.43,0.8,394.94,9.54,17.23,154.26,23.78,1.06,8.2,54.09,9.46,20.21,21.91,12.64,3.57,352.76,19.74,11.94,25.01,335.5,2.64,43.71,23.17,0,4.25,140.57,0,0,32.27,0,0,33.47,16.11,17.89,69.92,8.88,20.37
108-118,0,0,1.95,0.61,98.01,25.99,5.56,396.72,25.62,18.98,154.08,34.27,0,2.47,62.14,16.66,18.77,8.99,11.38,9.73,364.17,18.72,9.87,21.93,427.07,1.86,46.01,26.41,0,17.45,94.35,0.42,0,22.39,0.43,0,10.46,14.95,1.93,77.37,4.97,14.61
120,0,0,1.22,0,38.39,5.85,1.14,241.9,7.68,12.66,140.26,26.38,0,4.06,115.26,15.77,20.71,6.37,20.54,1.45,264.26,8.28,11.71,9.91,388.98,9.4,41.23,29.62,0,22.18,150.91,0,0,16.34,0,0,4.23,11.53,0,56.8,13.37,0
