stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  3-4,33.61,94.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.4,171.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0
  7-9,8.9,0,11.75,0,0,11.63,0,0,0,0,0,9.92,0,0,0,0,0,0,110.37,10.01,0,58.73,0,3.89,0,0,0,0
 10-12,0,3.64,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,44.18,23.16,0,33.59,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,4.32,0,0,0,0,20.26,2.98,0,0
 24-34,0,0,0,0,1.68,0,0,0,0,0,0,0,0,9.55,0,0,0,3.45,4.07,0.99,0,0,0,3.8,8.37,7.72,0,0
 36-46,0,0,0,10.99,0,0,4.46,0,0,0.71,0,0,0.75,9.29,2.26,5.49,0,1.6,11.32,9.59,0,0,0,10.23,7.79,0,5.1,0
 48-58,2.31,0,0,0.73,0,1.85,2.59,0,0.72,0,0,0,0,15.93,84.38,0.5,0,0,18.2,86.81,0,0,0.73,8.76,4.4,0,1.32,0
 60-70,0,0,0,4.31,0,4.88,1.44,0,3.06,0,0,0,0,35.18,178.54,0,0,0,3.41,245.52,0,0,0,5.43,5.21,0,0,0
 72-82,0,0,0,2.74,0,16.66,0.91,0,0,1.08,0,0,1.02,2.69,322.49,0,1.08,0,12.43,57.09,0,0,1.03,0.98,0,0,3.2,0
 84-94,0,0,0,2.36,0,12.49,0,0,0,1.35,1.26,0,0,0,426.43,1.26,0,0,11.39,42.1,0,0,0,2.23,0.81,0,1.93,1.06
 96-106,0,0,0,2.33,0,5.58,0,0,0,2.02,0,0,0,0.82,319.85,0.73,0,0,28.57,36.88,0,0,0,3.16,0,0,0,0
108-118,1.49,0,0,4.83,0,21.23,7.81,2.23,1.94,4.28,0,0,0,0,499.62,1.64,0,0.91,26.54,193.55,0.76,0,0,2.56,1.58,0,0,1.2
120,0,0,0,2.56,0,90.6,0,0,0,0,0,0,0,0,629.81,0,0,0,31.13,347.03,0,0,0,0,1.21,0,0,8.75
