stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.33,68.71,0,0,0,0,0,0,0,0.96,0,0,0,0,0,1.13,0,3.2,6.29,0,0,0.98,0,0,0,0.89,1.74,0,57.3,0,0
 24-34,0,0,1.22,6.78,0,2.2,0,0,0,0,0,9.16,0,0,0,0,0,10.36,0,14.58,21.38,0,0,0,0,0,0,0,0,0,334.55,0,0
 36-46,0,0,0,0.71,0,17.02,0,0,0,1.67,0,4.17,0,0,0,0,1.35,59.72,1.14,27.2,43.28,0,0.83,0,0,0.66,0,0,0.63,0,170.86,0,0
 48-58,0.58,0,5.3,0,0,23.61,0,0,7.89,0,0,9.43,0,0,1.14,0,1.44,52.97,2.3,17.87,67.69,0,0,0,0.91,0.52,0,0,1.03,0,148.52,0,4.79
 60-70,2.52,0,1.07,0,0,73.36,0,0,14,12.06,0,9.73,2.8,0,0,1.2,9.95,133.28,7.31,13.63,124.17,0,0,0,14.06,0,0,0,0,11.26,150.74,6.41,0
 72-82,0,0,5.4,6.16,0,81.58,0,0,11.53,35.66,0,12.29,0,0,0,0,0,175.85,11.98,26.43,98.26,0,0,0,15.58,2.8,0,0,1.69,4.73,272.56,10.02,0
 84-94,0,0,3.38,1.37,0,310.96,1.17,0,11.69,22.53,0,16.48,1.41,0.82,1.03,0,1.19,117.78,20.69,10.24,90.95,0,0,0,16.57,0,0,0,6.11,8.69,188.31,6.13,0
 96-106,0,0,1.79,0,0,475.61,0,8.19,8.97,34.9,0,12.34,0,0,0,14.11,0.75,249.72,8.76,21.97,131.47,0.57,0,0,42.78,3.32,0,0,1.76,8.86,258.44,18.86,0
108-118,0,0,7.23,6.82,1.29,1057.53,0,5.92,10.31,32.98,1.1,17.46,1.38,1.11,3.84,5.8,18.3,229.25,31.32,41.25,121.98,0,5.47,0,97.12,3.18,0.73,0,0,0,249.7,18.24,12.76
120,0,13.23,1.08,1.62,0,442.39,0,0,0,40.31,2.4,0,3.81,0,0,0,3.89,371.75,44.51,15.09,240.04,0,1.53,0,105.76,47.7,0,0,3.5,0,384.25,24.02,0
