stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,59.61,927.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.56,1268.85,0,0,0,0,0,0,0,0,0,0,272.58,0,0,67.71,0,0,0,0,0,0
  7-9,122.73,259.31,525.25,0,0,59.91,0,0,0,11.84,0,0,4013.68,342.68,0,4903.16,10.91,0,12.75,0,0,0
 10-12,0,192.31,408.59,0,0,27.66,0,0,0,14.58,0,3.87,2124.59,204.13,0,4854.75,7.72,17.8,173.01,0,27.53,0
 14-21,0,0,0,1.8,2.32,0,0,7.63,0.97,0,0,10.28,23.42,4.23,0,11.55,0,165.75,1.17,1.99,202.95,99.09
 24-34,0,0,0,0,0.91,1.65,0.63,1.12,0,0,0.72,5.97,15.94,0.99,0,0,0,0,0,0.79,30.77,27.16
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,0,0,0,0,0,4.04
 48-58,0,0,0,0,0,0,0,0.5,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.59,0,2.97,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.55,0,4.35,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,5.89,0,0,0,1.96,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,1.94,0,4.13,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0,0,0,0,0
