stage,blastomeres,epidermis,eye,fast_muscle,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature,xanthophores
  5-6,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0,1.23,0,0,0,0,0,0.7,0.72,0,0,7.79,1.04,1.24,0,0,0,0
 48-58,0,0,5.7,0,0,0,0,0,0,0,0,0,5.48,0.38,0,0,0.65,0,0
 60-70,0,0,1.33,1.88,0,0,0.61,0,0,0,0,0,3.71,0,0,0,5.83,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.5,0,1.11,0,12.61,0,0,0,0,0,0.89
 84-94,0,0,4.84,0,0,0.65,0,0,0,2.18,0,2.78,10.19,0,7.01,0,0,0,0
 96-106,0,0.83,6.49,0,4.32,0,0,0,0,0,0,0,20.05,0,3.2,0,0,1.37,0
108-118,0,0,0.42,0,2.68,0,0,0.73,0.51,0.93,0,0,8.11,0,0.56,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,14.27
