stage,gut,immune,mesenchyme,mural.cell,muscle,neural
 24-34,0,0,0,0,0.71,0
 36-46,0,0,3.42,4.52,0,0.73
 84-94,0,0,0,0,0,3.1
 96-106,1.09,2.64,0,0,0,4.85
108-118,0,20.82,0,0,0,1.7
120,0,17.59,6.09,0,0,0
