stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0,0,0,0
  5-6,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31,0,0,5.36,0,0,0,0,0,0,0,0,0
 10-12,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.72,0,0,17.3,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.68,0,0,0,0,0,0,0,0,0,1.26,0,0,1.01,0,0,1.19,6.24,0,0,0,0,1.17,1.46,2,5.86,0,0,0,0
 24-34,0,0,0,0,6.45,0,0,2.94,0,0,0,0,0,0,0,2.36,0,0,0,35.09,2.19,0,0,2.15,0,0,0,14.72,0,1.2,0,0
 36-46,0,0,0,0,3.2,0,0,5.16,0,0,0,0,0,0,0,6.56,0,0,0,56.85,1.73,0,0,2.04,0,0,0,28.13,0,0,0,0.66
 48-58,0,0,0.75,0,6.67,0.85,0,5.88,0,3.95,0,0,0,0,0.74,5.12,0.49,0,1.68,60.68,0,0.4,0,2.07,0,0,0,13.79,0,0.54,0,3.29
 60-70,0,0,0,0,40.15,0,0.68,4.84,0,0,13.88,0,0,1.41,0,4.9,0,0,0,91.68,0,0,0,3.71,0,0,0,10.22,0,0.85,0,0
 72-82,0,0,0,0,75.34,0,0,15.98,0,0,0,0.67,0,0,0,6.08,0,0,0,97,5.29,0,0,4.56,0,0,0,13.99,0,5.66,0,0.5
 84-94,0,0,0,0,85.8,0,0,12.78,0.66,0,0,1.6,0,0,0,2.11,0,0,1.09,93.78,0.71,0,0,14.29,0,0,0,14.64,0.99,0,0.77,0
 96-106,0,0,0,2.45,45.99,0,0,4.96,0,0,0,0.79,0,0,0,1.84,0,0,0,91.73,4.06,0.78,0,2.31,0,0,0,5.73,0,0,0,0
108-118,0,0,0,0.52,67.96,0,0,6.07,0,0,0,0,1.18,0,0,6.34,0,2.36,0,50.96,2.75,0.99,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,96.37,0,0,31.46,0,0,0,2.76,0,1.54,0,19.1,1.59,0,0,119.29,1.11,0,19.84,0,0,0,0,7.84,0,5.97,0,0
