stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,43.59,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,17.72,10.49,14.15,0,0,0,0,0,1.03,0,0.82,1.23,5.98,0,0,0,0,0
 24-34,0,0,63.94,0,0,11.19,0,1.04,0,0,0,0.79,0,0,0.81,0,0,281.69,0,0,136.25,39.04,0.67,0,0,0,0,0,0,0.6,0,0,5.62,0,0,0,0,0
 36-46,0,0,13.41,0,0,4.29,0,0.71,2.04,2.44,0,2.08,0,0,0,0,0,693.34,0,0,280.71,37.99,0,0,0,0,0,16.92,0,2.11,0.74,0,5.04,0,0,3.16,0,1.78
 48-58,0,0.43,23.05,0,0,18.67,0,1.25,6.2,4.54,0,7.55,0,0,0,0,0,539.03,0.83,0,163.97,57.39,0,0,0,0,0,0.42,0,0,0,0,2.15,0,2.86,0.41,0,0
 60-70,0,0,16.84,0,0,50.25,0,1.81,8.22,3.56,0,2.71,0,0,0,0,1.46,2053.62,0,1.85,161.12,97.72,0,0.58,1.74,0,0,0,0,0,0,0,7.15,0,18.61,2.12,0,0
 72-82,0,0,6.76,1.41,0,142.01,0,0.64,16.15,7.89,0.82,1.85,0.49,0,0,0,0,3210.83,0.77,37.14,98.39,119.2,0.53,0,1.14,0,10,0.51,0,0,0,0,30.46,0,45.92,5.26,8.05,0
 84-94,0,0,18.9,0.85,0,126.18,0.58,1.36,14.55,17.72,0,5.84,1.96,2.29,0,1.81,0,2775.8,0,30.59,71.55,51.14,0,1.64,0,0,1.59,1.46,0,2.8,1.69,0,16.82,0,68.72,0,0,0
 96-106,0,0,46.61,0,0.66,151.79,3.58,2.35,34.34,30.53,7.74,4.62,2.8,1.79,2.33,0.7,0,2637.07,14.4,34.75,69.19,119.84,8.19,0,0.67,0,0.79,1.83,0,3.97,0,0,2.51,0,60,3.33,2,8.78
108-118,0,0,55.05,1.17,0,99.16,15.7,5.63,20.7,22.9,1.08,0.43,0,0,0,0,3.35,3262.22,0.77,31.53,97.47,136.82,5.31,2.79,1.33,0,3.58,6.34,0,0,0,0,3.77,2.01,66.81,2.61,1.52,3.13
120,0,0,13.78,0,0,22.83,0,1.04,49.48,4.7,0,12.99,0,0,2.64,0,9.24,2291.85,1.56,13.76,33.66,107.68,0,0,0,19.84,9.36,0,0,0,0,0,2.39,0,39.99,0,0,0
