stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,xanthophores
  3-4,66.15,121.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0,0,0,0
  5-6,38.89,229.58,13.2,0,0,0,0,0,0,37.23,0,0,0,0,0,129.18,0,0,0,29.47,23.96,0,0,0,0,0,0
  7-9,44.69,23.36,62.49,0,0,0,0,0,0,31.3,0,0,0,0,0,116.62,101.95,0,0,595.63,0,0,0,0,0,0,0
 10-12,0,42.74,58.49,0,0,13.24,0,0,0,0,0,0,0,0,0,78.68,90.14,0,0,562.81,0,0,29.52,0,7.71,0,0
 14-21,0,0,0,8.22,0.9,0,0,0,0,0,0,0,0,13.35,5.41,13.62,14.3,0,0,3.48,0,205.22,0,0.84,29.86,0,0
 24-34,0,0,0,3.42,0,0.77,0,0,0,0,0,0.79,1.42,25.07,2.63,6.23,0.69,0.69,2.87,0,0.73,0,0,1.61,0,2.02,0
 36-46,0,0,0,0,0,3.86,0,0,0,0,0,0,0.81,7.5,7.33,8.12,0,0,3.51,0,12.62,0,0,14.11,0,0.57,0
 48-58,0,0,0,0.85,0,2.53,0,0,0.95,0,0,0,0.77,7.43,1.3,35.74,0,0,1.6,0,0.7,0,0,0,0,0,0
 60-70,0,0,0,0,0,11.83,1.28,0,1.56,0,0,0,0,7.31,7.67,21.28,0,0,11.71,0,0,0,0,1.58,0,0,0.96
 72-82,0,0,0,0,0,5.94,16.86,1.07,6.58,0,0,0,0.6,17.79,3.71,62.68,0,0,0.97,0,0,0,0,0,0,2.11,0
 84-94,0,0,0,0.56,0,2.02,2.98,0,11.26,0,0,0,1.05,7.41,1.39,40.06,0,0,11.68,0,0.55,0,0,0,0,1.74,0
 96-106,0,0,0,0,0,7.08,1.05,0,6.22,0,0.96,0,0,12.01,1.56,33.21,0,0,3.21,0,0,0,0,0,0,3.74,0
108-118,0,0,0,0,0.5,2.43,3.6,0,4.1,0,0.68,0,0,10.58,3.04,44.91,0,0,9.94,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,14.1,0,0,0,0,13.21,3.37,112.62,0,0,0,0,0,0,0,0,0,0,0
