stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.35,4.85,0,0,0,4.33,0,0,0,0,0,0,0,0,7.71,0,0,0,9.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,10.93,24.84,0,0,0,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,1.97,0,2.14,0,1.94,4.13,0,0,0
 24-34,0,0,0,0,2.12,0,0,0,0,0,0,0.77,0,0,15.1,0,0,0,0,0,0,0,0,0,1.01,0,0,3.04
 36-46,0,0,0,0,0,6.29,0,0,0,0,0.57,2.21,0,0.98,11.08,0,0,0,0,0,0,0,0,0,5.43,0,7.74,10.63
 48-58,0,0,0,0,0,3.23,0,1.33,0,0,0,1.21,0,0,7.44,0,0,0,0,0,0,0,0,0,4.17,0,0,12.43
 60-70,0,0,0,0,5.08,15.05,0,1.9,0,0,0,0.64,0,0,5.61,0,0.7,0,0,0,0,0,0,0,5.41,0,0,20.24
 72-82,0,0,0.61,0,0.96,10.75,6.32,6.23,0,0.52,0,1.68,1.61,0.54,4.81,0,0,0.56,0,0.58,0,0,0,0,0,0.52,0.97,2.22
 84-94,0,0,0,0,0,4.59,0,0,0.67,0,0,2.79,0.95,0.77,10.62,0,0.76,0,0,0.66,0,0,0,0,0,0,1.85,0.77
 96-106,0,0,0,0,0,3.39,0,4.25,0.74,0,0,6.28,0,0,10.26,0,0,0,0,1.62,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.57,0,4.76,0,0,0,5.46,0,0,12.51,0.85,0,0.48,0,2.82,0,0,0.62,0,0,0,0,7.3
120,0,0,0,0,1.34,8.2,0,2.8,0,0,0,8.37,0,0,27.31,0,0,0,0,1.24,0,0,0,0,0,0,0,0
