stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,90.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.63,0,0,0,0
  5-6,0,24.41,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.01,0,0,0,0
  7-9,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,6.3,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,5.38,0,0,0,0,0,2.2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0,0,0,0,1.14,0,0
 36-46,0,0,0,0,0,1.7,0,0,0.63,0,0.81,0,0,0,0,0,79.53,0,0,0,0,0,3.02,0,0
 48-58,0,0,0,1.47,0,11.13,0.67,0.51,0,0,0,0,5.55,0,0.4,4.58,29.05,0,0.65,0,0,0,3.22,0,0.6
 60-70,0,0,0,0,0,3.04,0,0,2.88,0,3.71,0,0,0,0,0,21.98,0,0,0,1.29,0,4.51,0,0
 72-82,0,0,0,0,6.23,7.55,0,0,0,0.65,95.02,0,0,0.72,0,0.73,18.07,0,0,0,0,0,2.4,2.63,0
 84-94,0,0,0,0,0,11.39,0,7.34,0,0,12.26,0,0,0,0,0,13.62,0,0,0,0,0,5.56,0,0
 96-106,0,0,0,0,0,6.38,0,0,0.97,0,15.88,0.71,0,0,0,0,10.42,0,0,0,0,0,0,0,0
108-118,0,0,0,2.47,0,0.81,0,0,0,0,17.13,0,0.54,2.09,0,0,16.44,0,0,0,1.49,0.89,3.48,0,0
120,0,0,0,0,7.49,8.39,0,0,0,0,35.08,0,0,0,0,0,35.18,0,0,0,0,0,0,0,0
