stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.52,0,0,0,0,0,0,0,0,0
  5-6,0,59.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0,970.77,0,0,0,0,0,0,0,0,0
  7-9,7.9,0,4.16,0,0,0,3.44,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0,0,105.2,18.01,0,0,14.61,552.49,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.63,0,0,0,65.08,203.03,0,11.24,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,25.77,0,0,0,0,4.88,4.18,5.78,0,0,0,0,863.18,0.94,0,0,0,1.11,0,0,0,0
 24-34,0,0,0,12.28,0.68,0,5.93,0,0.7,0,2.2,0,8.44,0.67,0,28.91,0,10.05,0,0.7,22.32,1.22,98.43,0,4.26,0,0,1447.96,1.22,0,0,1.14,1.91,0,1.82,0,0
 36-46,0,0,0,5.67,0,0,5.27,0.61,5,0,1.89,0,0,0,0,15.8,0,0,0,0.73,15.85,0,27.22,0,2.99,0,0,1416.04,0,0,0,0,5.18,0,0,0,0
 48-58,0,0,0,4.1,0,0,11.05,0,5,0,4.24,0,0,0,0,7.59,0,0,1.04,3.01,15.5,0.79,38.89,0,2.34,0,0,1039.38,0,0,0,0,3.63,0,0,0,12.35
 60-70,0,0,0,12.31,0,0,9.92,0,6.45,0,1.33,0,1.71,0,0,1.4,0,0,0,0.57,2.54,0,23.12,5.17,0,1.5,0,655.66,0,0,0,0,5.75,0.77,0,0,0
 72-82,0,0,0,62.22,0,0,20.79,0,0,0,9.63,1.89,0,0,0.78,12.08,0,0,0,4.91,14.02,0,48.88,0,5.38,0,0,362.1,0,0,0,0,2.15,11.46,0.5,0,0
 84-94,0,0,0,85.98,0,0,6.13,0,3.38,0.75,1.48,3.52,0.66,0,0,18.13,0.76,0,0,0,13.84,0,3.89,0,5.19,0,0,1034.96,0,0,0,0,2.74,8.89,0,0,0
 96-106,0,0,0,122.4,1.5,0,22.89,0,2.05,0,3.18,10.36,0,0,1.76,12.41,2.48,0,0,5.56,13.48,1.42,33.48,0,3.28,0,0,693.43,0,0,5.77,0,0,13.93,0,0,0
108-118,0,0,0,59.81,0,0.44,9.17,0,1.52,4.07,2.71,6,0,0,1.23,20.19,0.49,0,0,0.7,14.68,0,14.03,0,0.48,0,0,403.5,0,0,0,0,0,15.41,0,1.74,0
120,0,0,0,77.29,0,0,0,0,3.78,0,1.21,6.96,0,0,0,5.05,0,0,0,4.22,9.2,0,21.67,0,0,0,0,258.48,0,0,0,0,0,8.49,0,0,0
