stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,293.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0
  5-6,98.52,709.01,10.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,7.03,0,0,13.46,6.25,0,0,0,0,0,0,0,0,0
  7-9,13.3,7.66,19.05,0,0,41.16,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,316.18,4.06,0,0,69.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.53,0,0,21.52,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,185.17,6.38,0,0,47.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,11.18,6.46,8.76,0,0,1.12,0,0,0,0,0,0,0,9.36,0,0,4.58,72.91,1.03,0,1.4,0,0,12.45,2.53,5.47,28.49,0,0,3.51,0,0
 24-34,0,0,0,1.3,0,10.49,0,0,2.46,1.16,0,1.04,0,0,0,0,13.93,0,0,8.54,162.89,1.65,0,0,0,8.43,0,1.6,0,38.91,0,0,2.79,0,0
 36-46,0,0,0,1.18,0,18.83,0,0.81,2.65,0,0,0,0,0,0,0,13.22,0,0.67,4.63,135.99,0.56,2.12,0,0,0.99,0,0,0,33.51,0,0,0.71,0,0
 48-58,0,0,0,6.85,0,38.2,0,0,17.17,3.21,0,0,0,0,0,0,15.22,0,0.99,0,71.53,0,0,1.77,0,1.82,0,5.9,0,16.9,0,0,8.42,0,2.36
 60-70,0,0,0,10.26,1.25,40.25,0,0.83,4.18,0.65,0,0,0,0,0,0,28.5,0,0,1.28,50.88,1.17,0.81,0,0,1.45,0,0,0,24.82,0,0,0,0,0
 72-82,0,0,0,1.03,0,31.83,0,0,10.14,0,0,0,0,0,6.91,0.49,17.33,0,0,2.28,63.87,0,2.24,0,0,2.39,0,0,0,2.63,0,0.49,3.54,0,0
 84-94,0,0,0,1.83,0,8.3,1.75,0.87,3.05,3.56,0,1.83,0,0,0.6,2.53,11.61,0,0.85,1.57,22.92,0,0.56,3.3,0,1.39,0,0,0,3.68,2.36,0,0,0,0
 96-106,0,0,0,1.57,0,13.03,0,1.1,5.3,0,0,0,0,1.31,0,0,5.01,0,0,0.6,22.12,0,0,1.92,0,7.25,0,0,0,9.4,0,0,0,0,0
108-118,0,0,0,6.83,3.73,5.35,0,0,12.94,1.26,0,0,1.36,0.87,0,3.54,15.93,0,0,4.02,32.05,0,0.46,1.89,0,2.73,0,0,0,3.64,0,0,0,0.98,0
120,0,0,0,6.64,22.69,7.43,0,0,10.24,0,0,0,1.62,0,0,0,15.54,1.15,0,0,60.7,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0
