stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.39,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.89,110.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,9.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.7,8,0,75.41,0,0,11.91,0,0,0,0,0,16.13,0,0,0,0,0,0,0,0,61.32,0,0,0,31.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.54,0,52.63,0,5.18,6.45,0,0,0,0,0,14.12,0,0,0,0,0,0,0,0,189.9,16.03,0,0,67.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.19,24.65,6.42,12.97,0,0,0,0,2.93,0,0,0,0.9,0,0,21.82,0,3,175.43,2.14,0,0,0,0,0,1.26,7.02,0.82,1.26,5.52,10.58,0,0,0,0,0
 24-34,0,0,0,0,9.91,0,10.16,0,1.38,0,0.89,0,0,0,0,0,0,0,27.35,0,2.2,103.86,0.75,0,0,0,0,0,0,0,0,0,0.67,6.29,0,0,0.83,0,5.99
 36-46,0,0,0,0,2.43,0,6.64,0,3.25,0,2.08,0,0,0,0,0,7.14,0.62,8.8,0,1.85,123.46,0,3.75,3.65,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0
 48-58,0,0,0,0,3.6,0,39.5,0.58,1.83,1.4,1.95,0,0,0,0.76,0,4.82,0,19.72,0,4.63,185.9,0,0.89,1.16,0,0,0,0,0,0.59,0,0,21.02,0,0,0.62,0,2.54
 60-70,0,0,0,0,3.22,0,72.07,1.3,0,0.83,8.98,0.62,0,0,0,0,3.59,0,11.37,0,2.6,369.72,0,0,0,0,0,0,0.64,0,0,0,0,29.09,0,0.57,0,0.73,1.5
 72-82,0,0,0.71,0,5.61,0,169.63,0,0,0,9.91,0.73,0,2.17,0,8.69,5.66,0,35.29,0.81,2.87,448.83,0,0,1.49,0,0,1.84,0,0,0,0,0,27.36,0,3.83,0,0.53,10.44
 84-94,0,0,2.6,0,5.62,1.31,137.84,0,0,0,4.59,0,0,0,0,1.78,8,0,27.91,2.63,3.91,266.95,0,0,2.6,0,0,1.82,0,0,3.6,0,0,16.21,0.9,1.08,0.91,0.98,0
 96-106,0,0,5.56,0,11.46,0,114.15,0,0.9,0,7.23,1.34,0,0,1.14,0,2.45,9.97,22.93,2.68,4.72,277.99,0,0.57,2.78,0,0,3.89,0.85,0,0,0,0,4.42,0,2.69,0.71,0,0
108-118,0,0,0.6,0,14.64,0,101.37,0,1.42,1.2,17.79,0.47,0,0,0,0.93,6,0,22.52,1.29,3.54,356.32,1.42,0,3.86,0,0,0,0.48,0,0,0,0,5.74,1.13,3.73,1.05,0.57,0
120,0,0,0,0,2.93,2.81,133.79,0,1.5,15.29,29.99,11.55,0,0,0,0,5.96,3.61,20,2.13,10.98,643.22,0,0,1.16,0,5.9,0,0,0,0,0,0,7.92,0,0,0,0,0
