stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,5.06,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0
 14-21,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,1.36,0,0
 24-34,4.36,0,0,0,0,2.23,0,0,0,0,0,0,2.85,0,0,0,0,1.07,110.46,0,0.73,0,7.67,0,0.62
 36-46,1.23,0,2.38,0,0,1.57,0,0,6.58,0,0,0,0,0,0,0,0,0,319.7,0,0,0,8.75,0,0
 48-58,0,0,2.97,0,0,7.36,0,0,1.78,0,0,0,2.55,0,0,0,0.39,0.41,418.05,0,0,0,23.47,0,0
 60-70,0,0,0,0.61,0,132.16,0,0,1.54,0,0,0,0,0,0,11.2,1.38,0,491,0,0,0,38.2,0,0
 72-82,3.04,0,2.59,0,0,172.92,0.96,5.63,4.32,0,0,0,0,0.92,0,0,3.26,0,863.24,0,0,0,32.96,0,0
 84-94,2.29,0,3.5,0,0,118.83,0,0,8.69,0,0,0,2.16,0,0,0,2.46,0.56,530.77,0,0,1.52,25.15,0,0
 96-106,2.74,0,1.61,0,9.83,203.79,0,0,16.63,0,0,0,0.56,0,6.67,0,4.68,0,610.6,0.6,0,6.1,25.18,0,0
108-118,3,0,6.31,1.75,0,175.65,0,0,24.18,0.98,0,0.44,0.59,0,0,0,5.31,0,602.36,0,0.58,0,3.78,1.03,0
120,6.1,0,6.83,0,0,46.18,0,0,0,0,0,0,2.4,0,0,0,14.69,1.7,986.67,0,0,1.24,0,0,0
