stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,29.85,674.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,409.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,52.48,0,0,0,11.08,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.17,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,47.97,40.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0.89,0,0,0,0,0,0,8.35,0,0,1.97,14.85,0,1.74,0,0,0,0,1.34,0,0,0,0
 24-34,0,0,0,0,0,0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,2.96,162.49,0,263.57,0,0,3.88,0,46.07,0,0,2.41,0
 36-46,0,0,0,0,0,0,67.74,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,0,427.14,0,402.26,0,0,8.89,0,153.49,0,0,0,0
 48-58,0,0,0,0,0,0,418.78,0,0.38,0,3.65,0,0,0,0,0,0,0,0,1.85,3.18,0,0,0.6,922.05,0,347.78,0,0,2.31,0,155.53,0,0,0,0.63
 60-70,0,0,2.68,4.18,0,0,2062.21,0,1.2,1.48,20.07,0.85,0,0,0,5.54,0,0,0,0,12.37,0,0,5.87,1914.22,0,329.57,0,0,10.82,0,197.18,0,0,1.72,6.9
 72-82,0,0,1.51,23.07,0.73,0,3344.04,3.18,1.72,1.01,26.05,0.7,0,0,0,0,0,0,3.31,7.54,35.99,0,0,0.98,3007.46,0,638.96,0.84,0,2.89,0,237.25,4.7,0.52,9.57,21.02
 84-94,0,0,0,28.78,7.83,0,2749.91,0.76,0,1.21,52.29,0.66,0,0,0,0,2,0,0,0,19.1,1.21,8.61,1.01,1931.2,3.47,587.71,0.72,0,3.12,0,104.68,0,1.67,0,0
 96-106,0,0,1.11,12.67,13.19,0,3120.87,1.02,2.07,18.96,51.43,2.81,0,0.58,2.05,2.38,0,0,9.82,3.42,24.74,1.47,1.02,4.34,1859.46,0,912.57,2.77,0,10.91,0,97.41,2.88,2.29,5.55,5.1
108-118,0,0,0.84,18.38,1.8,3.08,2943.99,0.44,1.24,0.65,59.21,1.99,0,0,4.04,0,0.89,0,3.2,4.49,41.64,0.45,0.62,0.87,1965.71,0.69,604.21,2.53,0,9.23,0,79.15,2.39,1.42,6.73,11.7
120,0,0,0,29.02,2.86,0,2913.83,1.18,10.7,0,95.88,0,0,0,9.11,2.21,6.33,1.88,0,0,50.87,1.65,2.35,12.52,3398.77,0,625.3,0,0,6.47,2.39,144.7,8.68,12.76,0,0
