stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,232.45,347.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,0,0,0
  5-6,690.73,943.65,0,0,0,0,0,0,0,0,144.64,0,0,0,0,753.07,10.72,0,48.16,25.02,0,0,0,0,0,0
  7-9,665.65,52.04,0,1035.87,0,0,20.77,0,0,0,562.59,0,0,0,0,1016.72,552.06,0,2879.01,8.69,0,9.82,0,0,0,0
 10-12,0,9.69,0,237.92,0,25.58,9.94,0,0,0,132.58,0,0,0,0,375.57,443.56,0,1646.49,0,16.85,376.31,0,0,0,0
 14-21,0,0,1.32,54.86,100.68,346.08,0,0,1.06,17.97,18.46,18.24,7.11,210.9,321.86,162.12,362.77,0,48.86,23.12,312.71,52.85,142.6,944.83,39.71,22.67
 24-34,0,0,0,2.33,0.74,3.31,0,0,0,0.89,0,0,1.14,14.71,12.2,17.49,8.8,0,0,4.98,2.2,0.72,0,7.7,1.08,7.39
 36-46,0,0,0,0,0,0,0.69,1.46,0,0,0,0,0,7.2,4.05,1.68,14.11,0,0,1.28,0,0,0,0,3,1.1
 48-58,0,0,0,0,0,0,0.66,0,0.9,0,0,0,0,3.1,0,1.75,1.37,0,0,0.48,0,0,0,0,0.92,0.58
 60-70,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,2.18,0,0,1.97,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,0,0.9,5.5,0,0,0,0,0,0,0,0,0,1.55,1.75,0,0,0,0,0.41,0,0,0
120,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
