stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.12,283.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.23,0,0,0,0,0,0,0,0,0,0
  5-6,87.28,383.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.17,11.37,0,0,0,0,202.67,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,799.11,109.18,0,0,515.78,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.28,0,32.18,0,0,240.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.82,48.97,0,0,409.88,0,0,0,4.43,3.39,0,0,0,0,0,0,0
 14-21,0,0,0,0,69.58,2.74,5.58,0,0,0,4.59,0,0,0,0,0,0,0,0,0,37.16,0,0,18.29,95.5,1.79,5.6,6.27,0.84,0,3.13,0,29.85,0,145.73,49.94,0,0,9.16,0,0
 24-34,0,0,0,1.65,25.3,0.67,12.09,0,5.43,0.72,4.41,0.74,0,2.66,0,0,0,1.21,0,0.95,80.75,0,0,16.63,90.32,8.28,2.12,5.88,0,0,25.27,0,0,1.28,20.76,26.76,0,0,37.3,0,0
 36-46,0,0,0,0.74,16.86,0.57,6.42,0,7.51,4.09,19.38,0,0,0.71,0,0,0,0,0,0,126.22,0.56,17.58,24.38,66.68,7.07,2.05,8.03,0,0.97,33.74,0,0,1.24,0,17.39,0,0,20.6,0,4.61
 48-58,0,0,0,0,15.71,0,9.65,0,8.3,2.33,25.01,0,0,0,0,0,0,0.39,0,2.78,163.99,1.91,5.54,12,43.42,0,0,5.76,0,0.98,31.36,0,0,0,0,26.64,0,0.92,19.31,0,0
 60-70,0,0,0.62,0,37.2,0,17.45,0,8.11,1.86,46.92,0,0,0,7.99,0,0,2.61,0,6.33,239.7,0,1.77,12.09,34.14,0,0.78,5.01,0,0,34.41,0,0,0,0,6.94,0,9.67,10.49,2.53,0
 72-82,0,0,0,0,18.33,0,24.33,0,4.83,1.11,63.11,2.06,0,1.59,0,0.7,0,2.75,0,0,163.97,0.57,6.34,13.47,31.49,1.2,0,19.98,0,1.48,20.77,0,0,0,0,3.48,0,8.45,21.33,4.13,0
 84-94,0,0,0,0,36.09,0,44.64,0,16.81,2.91,26.92,10.44,0.86,0.6,0,1.81,2.9,0,0,26.37,204.62,0.91,6.52,13.26,39.17,2.99,0,6.02,0,0.57,59.21,0,0,2.85,0,1.86,2.56,4.83,23.93,0.74,1.79
 96-106,0,0,0,0,46.88,3.61,11.67,0,11.43,3.26,41.1,10.55,0,0.88,1.91,0,0.98,1.76,0,9.63,114.59,0.83,5.27,16.94,27.42,0,1.27,7.09,0,2.71,55.94,3.39,0,0,0,3.99,3.52,0,21.38,3.22,0
108-118,0,0,0,0,53.45,0,14.67,0,29.46,0,25.13,5.26,0,0,0.51,1.19,8.48,1.18,2.11,8.17,204.06,0,1,9.68,46.37,0.9,1.15,12.12,0,11.73,37.26,0,0,4.07,0,0,3.33,4.57,24.97,1.3,0
120,0,0,0,0,64.62,2.35,13.56,2.14,17.24,0,72.29,9.5,0,0,2.66,0,2.36,1.12,13.14,0,118.96,0,10.27,7.28,46.07,0,0,15.65,10.96,10.01,48.37,0,0,0,0,0,3.62,2.71,17.16,1.8,0
