stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,58.87,411.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0
  5-6,6.36,264.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.42,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.17,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.13,0,0,0,4.3,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.06,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,144.9,24.97,0,0,27.13,0,9.69,0,0,0,0,0,0
 14-21,0,0,1.07,1.04,12.62,0.97,0.87,0,0,25.16,0,0.92,0,0,0,0.97,1.17,0,1.03,33.05,1.14,8.4,8.72,4,6.47,0,3.52,32.21,1.08,110.82,0,0
 24-34,0,0,3.65,0,19.26,0,2.68,2.52,0,14.02,0,2.46,0,4.87,1.44,1.8,1.1,0,6.56,64.59,0.7,27.15,2.2,0,5.58,0,0,13.4,0.67,99.36,0,3.06
 36-46,0,0,0,0,4.94,0,4.7,0,0.78,8.73,0,0,0,0.66,3.34,0,9.14,0,1.77,72.26,0,33.85,0.96,0,7.16,0,0,11.93,0,46.28,0,0
 48-58,0,0,0,0,10.24,0,10.85,0.54,0,28.84,0.92,0,0,0,0,0,4.68,0.5,1.24,24.02,0,38.15,2.89,0,0,0,0,13.71,0,56.06,0,0
 60-70,0,0,0,0,1.5,0,25.81,0,0,13.66,1.88,0,0,6.06,3.49,0,2.51,0,0,35.38,0,43.02,10.66,0,6.77,0,0,0,0,34.42,0,0
 72-82,0,0,6.29,0,9.73,0,8.04,8.3,0.5,16.21,5.38,0,0,1.13,3.94,0,6.74,0,0.87,6.62,0,40.27,7.12,0,0,0,0,0,0,10.08,0,0
 84-94,0,0,6.82,0,7.01,0,13.59,5.62,0,16.63,9.29,0,0,1.48,4.45,0,2.13,0,0,33.39,0,31.84,19.85,0,2.44,0,0,7.75,0,16.46,0,0
 96-106,0,0,3.65,0,3.97,6.77,3.69,2.64,0,20.51,6.67,0,0.64,6.34,11.12,4.97,5.52,0.69,1.8,11.76,0,49.99,14.13,0,2.3,0,0,0,0,14.27,0,0
108-118,0,0,0.79,1.06,6.42,0,5.93,1.45,0,6.12,1.47,0,0,6.22,4.98,0,7.27,0,0.9,6.73,0,33.01,7.6,0,0.45,0,0,1.84,0,13.79,0,0
120,0,0,0,3.17,10.39,0,4.93,1.49,0,16.15,0,0,0,8.55,1.07,0,18.88,0,0,32.16,0,78.7,4.94,0,0,0,0,7.07,0,2.98,5.48,0
