stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,71.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,60.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.03,0,0,29.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.99,0,0,22.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.7,0,0,2.08,0,0,0,0,1.8,2.95,20.1,0,0,0,0,0,3.92,0,4.54,0,0
 24-34,0,0,0,0.82,0,3.68,0,1.05,0,0,0,0.66,2.18,0.84,32.65,0,0,0,0,0,0,0,5.3,1.32,0
 36-46,0,0,0,0,0,7.02,0,0.77,0,0,0,0,3.58,2.76,30.1,0,0,0,0,0.81,0,0,4.7,0,0
 48-58,0,0,0,0,0,10.63,0,0,0,0,0,0,1.89,0,29.59,0,0,0,0,0,0,0,3.05,0,0.38
 60-70,0,0,0,0,0,9.76,0,1.38,0,0,0,0,2.2,0,4.85,0,1.33,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.97,10.64,0,0.82,1.97,0,1.24,0,7.81,0,25.98,0,0,0,0,0,0,0,1.08,0,0
 84-94,0,0,0,0,0,6.28,0,0,0,0,0,0,11.47,0,15.34,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.93,1.54,0,0,0,0,0,2.06,0,7.08,0,0,0,0,0,0,0,0,0.65,0
108-118,0,0,0,0,1.38,14.08,0,1.25,0,0.59,0,0,6.13,0,10.44,0,0,0,0.97,0,0,0,0,0,0.41
120,0,0,3.9,0,0,1.74,0,0,0,6.17,0,0,0,0,29.02,12.69,0,0,0,0,0,2.35,0,0,0
