stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,136.2,1448.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.14,0,0,0,0,0,0,0,0
  5-6,8.53,676.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.47,16.95,0,0,3.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,1.53,59.37,0,0,0,0,0,0,0,14.91,3.88,0,0,0,2.09,0,6.18,0,3.18,0,0,0,0,0,0.89,8.32,0,3.2,0,0,18.98,0,0
 24-34,0,0,0,2.7,8.1,15.13,0,0.76,0,0,0,0,1.15,44.65,1.7,0.63,0,0,0,0,0.62,0.9,20.01,0,0,0,0,0,0.61,27.15,0,0.68,4.44,0,77.15,0,23.27
 36-46,0,0,0,1.52,8.18,0.89,0,0,0.68,0.62,0,0,0,24,0,0,0,0,4.92,1.09,1.33,0,7.9,1.41,1.48,0,0,0,0,12.88,0,0,9.89,0,23.9,0,0
 48-58,0,0,0,0,1.06,0,0,3.55,2.99,0.37,8.01,0.87,0,18.6,0,0,0,0,13.26,0,2.23,0,15.13,0,0,0,0,0,2.04,2.68,0,0,10.39,0,11.06,0,0
 60-70,0,0,0,0,0.79,0,0,1.31,0,0,45.27,3.52,0,15.89,0,8.09,0,0,7.54,0,1.74,0,24.89,0,0,0,0,0,0,4.69,0,0,7.87,1.25,4.61,0,0
 72-82,0,0,0,0,2.64,0,0,12.27,0,0,85.92,9.35,0,19.35,0.5,1.26,0,1.06,6.42,0,17.98,0,18.33,0,0,0,0,0,0,15.64,3.02,0,20.34,0.61,8.56,0,0
 84-94,0,0,1.46,0,5.16,0.64,0.76,15.38,2.92,0,36.91,29.82,0,14.83,3.28,0,0,0,60.37,0,6.85,0,31.27,0,0,0,0,0,1.93,26.67,0,0,0,4.25,9.28,0,9.28
 96-106,0,0,1.28,0,3.98,3.35,4.14,43.73,0,1.02,115.84,42.85,0,14.19,11.83,0,0.67,0,85.36,0,15.41,2.35,25.18,0,0,0.66,0,2.4,14.06,19.78,0.57,0,18.74,0.93,17.35,2,0
108-118,0,0,1.39,0.63,4.73,5.18,15.68,52.6,0,0,92.08,32.31,0,10.45,7.78,0.65,0.89,0,114.24,0.68,9.18,0,64.97,0,0,0.77,0,0,2.86,19.18,0,0,7.54,0,10.86,0,0
120,0,0,0,0,2.28,0,3.82,14,0,0,108.06,28.54,0,4.12,7.48,0,0,0,63.42,1.61,3.28,0,39.42,0,0,0,0,0,2.81,26.6,0,0,3.65,0,6.24,0,0
