stage,epidermis,eye,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste
  7-9,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0,0
 14-21,0,0.96,0,0,0,0,0.83,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.64,1.81,0,0,0,0,0,1.13,0
 36-46,0,0,0,0,0,0,0,6.66,0,0,0,0,1.81,0,0
 48-58,3.09,0,0,0,0,0,0,2.49,0.99,1.84,0,0,0,1.35,0
 60-70,0,0,0,0,0,0,0,4.22,0,0,0,1.63,0,1.47,0
 72-82,0,0,0,1.14,0,0,0,6.16,0,0,0.56,0,0,0,0
 84-94,0,1.19,7.16,0,0,0,0,4.41,0,0.95,0,1.49,0,5.34,1.53
 96-106,0,0,0,0.99,0,0,0,2.44,0,0,0,0,0,0,0
108-118,0,6.28,0,0.87,0.98,2.36,0,5.95,0,9.48,0,0,0,0,0
120,1.35,3.83,0,0,0,0,0,18.45,0,0,0,2.92,0,0,0
