stage,blastomeres,epidermis,neural,olfactory,paraxial.mesoderm
  3-4,67.41,0,0,0,0
  5-6,50.28,0,0,0,0
  7-9,0,0,0,0,10.4
 10-12,0,0,19.15,0,0
 14-21,0,0,2.68,0,0
 24-34,0,1.71,8.88,1.88,0
 36-46,0,0,7.03,0,0
 60-70,0,0,0.91,0,0
 72-82,0,0,11.42,0,0
 84-94,0,0,1.08,13.13,0
 96-106,0,0,2.04,0,0
108-118,0,0,3.59,0,0
