stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,10.19,253.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.03,364.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.99,0,0,0,9.67,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.2,0,0,21.79,0,0,0,0,0,0,0,0,0,0,196.59,8.68,0,0,39.74,4.34,0,0,0,0,0,0,0
 10-12,0,4.02,0,5.76,0,0,23.59,0,0,0,0,0,0,0,0,0,0,118.87,3.12,0,0,42.62,4.24,0,14.26,0,0,0,0,0
 14-21,0,0,0,0,14.44,0,6.48,0,1.38,0,0,0.92,0.81,0,0,5.34,5.81,37.08,0,0,0,1.7,3.2,5.46,0.9,0,16.31,7.34,0,0
 24-34,0,0,0,0,2.92,0,1.64,0,0,0,0.76,0,0,0,0,3.06,0,24.41,0,2.95,0,0,0.75,0,0,1.04,0,9.59,0,0
 36-46,0,0,0,0,0,0.95,8.39,0,0,0,0,0,0,2.16,1.74,0.67,0,11.42,0.63,0,0,0,14.18,0,0,0,0,2.59,0,0
 48-58,0,0,0,0,1.35,0,1.8,0,0,0,0,0,0,0,0,2.3,0,13.25,0,0,0,0,1.03,0,0,0,0,0.37,0,0
 60-70,0,0,0,0,7.7,0,7.21,0,0,1.05,0,0.75,0,0,0,1.27,0,11.37,0,0,0.77,0,7.34,0,0,0,0,0,0,0.82
 72-82,0,0,0,0,8.17,0,2.74,0,0,1.01,0,0,0.93,0.84,0,0.92,0,7.71,0,0,2.8,0,1.94,0,0,0,0,0,0.67,0
 84-94,0,0,1.26,1,4.08,5.73,1.8,0.63,0,0,0,0,0,0.63,0,0.76,0,3.65,0,0.56,0.79,0,5.7,0,0.66,0,0,0,0,0
 96-106,0,0,0.81,0,3.43,0,2.83,0,0,1.61,0,0,0,0,0,0.75,0,0.68,0,1.88,1.14,0,4.53,0,0,0,0,0,1.38,0
108-118,0,0,0,0,3.19,0,2.11,3.25,4.41,3.27,0,0,2.04,4.07,0,2.01,0,0,0,0,0.88,0,2.76,0,0,0,0,0,1.27,0
120,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0
