stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,162.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.33,175.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,0,0,0,0,0
  7-9,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.54,0,0,0,0,0,0,21.05,0,0,0,0,0
 24-34,0,0,1.28,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,441.88,0,1.56,0,0,0,0,96.87,0,0,0,0,0
 36-46,0,0,0,0,8.67,0,0,0,0,0,0,0,0,0,0.84,0,0,1310.25,0,0.87,0,0,10.35,0,206.26,0,0,0,0,0
 48-58,0,0,1.85,0.5,91.05,0.52,0,22.53,0,0,0,0,0,5.8,22.27,0,0,1427.07,5.13,0,4.53,0,2.64,0,199.82,0,0,1.33,0,0
 60-70,0,0,3.58,0.57,478.78,0,0,5.88,0,0.84,3.85,0,0,4.52,29.11,0,3.57,2456.19,0,0,0,0,2.43,2.11,177.43,0,1.9,0,0,0
 72-82,0,0,1.85,5.73,534.21,0,0.78,13.12,0.51,0,0,0,0,0,14.1,0.92,0.84,2049.07,0,0,0,0,0,0,98.11,0,0,0,0,12.07
 84-94,0,0,13.19,2.4,416.5,2.04,0,18.72,0,0,1.3,0,7.61,0,14.2,0,0,1408.2,0,0,1.38,0,0,0,47.15,6.48,0,0,0.63,0
 96-106,0,0,4.73,18.98,305.01,0,0,15.2,0,0,0,0,0,0,7.78,1.02,0.8,1111.44,0,2.04,0.96,0,0,0,28.09,0,2.42,3.15,0,0
108-118,0,0,9.11,0,326.92,0,0.5,11.97,0.43,0,2.05,0.42,0,0,12.33,0,2.02,1304.57,0,0,0,0,0,0,24.67,0.68,0,0,2.12,0
120,0,0,18.05,0,383.97,0,0,14.66,0,0,0,0,0,0,7.78,0,0,2039.14,0,0,0,0,0,0,9.39,6.72,0,0,0,0
