stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,8,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.53,0,0.81,0,0,0,0,3.22,0,0,0,0.83,0,0,0,4.63,0,0,0,0,0,0,0,4.32,0,0,0,0
 24-34,0,1.23,0.68,0,0,0.82,0,0,0,3.42,0.69,2.33,0,1.15,0,0,0,12.67,1.47,2.22,0,0,4.79,0,0,2.06,0,0,0,0
 36-46,0,0,0.71,0,0,0,0,0,0,14.44,0,0,0,2.13,0,0,1.9,3.97,0,0,0,0,2.58,0.81,0,1.42,0,0,0,0
 48-58,0,0.46,0,4.62,1.39,0,0,0.61,0,19.45,0.38,0.69,0,2.93,5.44,0,0,23.22,0,1.15,0,0,8.64,0,0,2,0,0,0,0
 60-70,0,0,3.13,0,1.67,0,0,4.23,0,28.15,0.71,0,0,9.08,0,0,0,11.24,2.51,0,0,0,1.85,0,0,5.12,0,0,0,0
 72-82,0,0,0,0,1.02,0,0,3.17,0.73,26.5,0,1.35,0,8.83,0,2.98,0,26.32,4.36,3.34,0,0.77,5.46,0,0.75,2.76,0,0.51,0.67,2.06
 84-94,0,0,6.82,0,0,0.76,1.28,1.42,0,36.23,0,0,0,8.49,0,2.99,0,16.11,0,1.36,0,0,11.82,0,0.58,0,2.87,0,1.04,0
 96-106,0,0,7.09,0,5.94,4.18,0,0.66,6.31,38.29,0.86,0.94,0,4.41,0,0,1.31,8.49,1.36,3.22,0,0,9.81,0,0,0.99,0.83,0,0,0
108-118,0,0,2.45,0,8.49,1.05,0,8.03,0,49.06,0,1.18,2.18,9.38,0,0,0,16.57,0,1.99,0,0,5.44,0,0,0.63,0,0,4.13,0
120,0,0,8.43,0,0,0,0,10.24,0,47.02,0,0,0,11.7,0,0,0,12.08,0,0,0,0,6.39,0,0,0,0,0,0,0
