stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,9.97,4.62,0,0,0,0,0,0,0.92,0,0,0,3.18,14.31,0,7.12,14.81,5.6,0,0,0,0,6.61,10.1,10.44,16.5,0,0,1.82,0,0
 24-34,0,0,1.2,2.06,5.68,0,0,0,2.13,0,0,0,0,0,0,0.66,25.54,0,16,21.4,3.37,0,0,0,0,0,1.41,6.63,6.39,0,0,23.17,0,0
 36-46,0,0,0,0,1.61,2.17,0,2.26,6.19,0,0,0.71,0,0,0,6.26,25.14,0,4.77,10.01,11.77,1.13,0,0,0,0,0,0.91,1.84,0,0.62,12.99,0,2.44
 48-58,0,0,0,0.39,0.6,0,0,0.75,6.37,0,0,0,10.22,0,0,7.47,29.92,0,14.62,27.84,0.39,0,1.09,0.56,0,0,0,0,1.5,0,0,4.68,0,5.04
 60-70,0,0,0,0,0.9,0,2.79,0,11.42,0,4,0,4.93,0,0,10.52,74,0,3.48,2.04,0,0,0,0.71,0,0,0,0,0,0,0.82,3.9,0,19.82
 72-82,0,0,0,0,1.42,0,0,0.51,6.91,1.37,0,0,0,0,0,0,50.49,0.85,9.59,1.6,0,0.88,1.16,0,0,0,0,0,1.77,0,0,13.28,0,9.3
 84-94,0,0,0,0.87,10.05,0,0,0.84,24.21,0,0,0,9.59,0,0,9.75,60.69,0,0.6,3.26,5.03,0,0,0,0,0,0,0,2.36,0,0,9.21,0,18.31
 96-106,0,0,0,0,2.92,0,0,1.01,18.77,2.28,0,0,5.58,1.07,0,1.75,47.39,0,6.59,16.23,4.6,0,0,1.04,1.38,0,0,0,2.01,0,0,13.05,3.59,5.24
108-118,0,0,0,1.4,2.61,1.67,0,1.21,13.91,3.85,0,0,16.37,1.68,0.89,0.68,45.9,0.91,2.05,9.5,0.51,0,6.7,0,0,0,0,0,0,0.41,2.23,8.51,1.19,19.99
120,0,0,0,0,0,0,5.79,0,3.27,0,0,0,8.85,0,0,0,14.49,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,15.5,0,3.14
