stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,112.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,0,0,0,0,0,0,0,0
  5-6,0,141.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,11.84,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.48,16.57,1.24,4.71,0,0,0,0,0.93,0,0,3.3,0,0,0,2.97,1.05,0,0,0,0,0,1.62,0,1.07,140.19,0,0,0,0
 24-34,0,0,0,0.64,20.36,8.5,5.23,0,0,2.12,0,0.62,0.63,0,9.57,0,0.81,0.78,31.27,0,0,5.5,0,0,7.06,0,0,0,270.39,0,0,26.4,0
 36-46,25.37,0,0,0.56,9.56,1.83,3.09,0,0,0,0,0,0,0.66,4.79,0,0.89,0.74,41.92,0,0,5.2,0,0,0.56,0,0,0,149.28,0,0,54.68,0
 48-58,1.15,0,0,0,3.77,0.51,7.01,0.89,0,0,0.46,0,0,0.87,2.6,0.42,1.02,2.17,14.05,0,0,8.3,0,0,4,0,0,0,22.06,0,0,38.98,0
 60-70,0,0,0,0,9.34,0,0.69,0,0,1.92,0,0,0,0.59,44.51,0,9.44,1.65,3.04,0,0,11.31,0,3.25,0,0,0.59,0,0,0,0.67,38.8,7.02
 72-82,0,0,1.35,0,4.45,1.89,0,0,1.8,1.41,2.04,0,0,6.78,54.31,1.05,18.89,6.72,11.04,0,0,14.08,0,28.84,0,0,0,0,2.72,0.71,5.47,76.67,21.97
 84-94,0,0,0,0,28.11,2.57,12.22,0.74,0,0,4.81,0,0,5.89,70.77,2.34,9.99,12.43,10.07,0,0,1.71,0,26.68,0,0,0,0,7.77,0,0,47.9,29.74
 96-106,0,0,0,0,11.15,0,10.96,0,0,0,1.4,0,0,3.08,108.2,2.71,3.77,1.27,23.88,0,0,6.06,0,86.12,3.29,0,0,0,0,0,3.8,74.49,29.23
108-118,0,0,0,0,15.12,0,4.74,0,2.07,2.08,4.58,0,1.74,7,115.18,0,17.58,3.62,7.81,0,0.61,8.69,0,112.27,0,0,0,0,0,0,4.52,55.67,39.53
120,0,0,0,0,4.87,0,10.86,0,0,0,0,0,2.5,2.67,137.51,0,29.26,10.2,13.74,0,0,4.64,0,151.64,0,0,1.47,0,7.18,0,5.53,176.69,34.99
