stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.25,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,22.99,0,0,0,8.64,0,5.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.62,5.39,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0.93,0,0,1.15,34,3.28,0.85,0,0,0,4.85,0.83,1.71,0,1.89,27.71,0,0,0,0,0
 24-34,0,1.51,0.62,1.26,0,6.72,0,0,0,0,0,0,3.8,0,1.28,0,0.96,0,5.21,3.75,0.63,0,1.76,334.22,0.69,1.28,0.71,0,0,23.48,0,1.98,0,0.65,105.43,0,0,1.03,0,0
 36-46,0,0,1.07,0,0,22.04,0,0,0.97,0.95,0,0,0.65,0,0,0,0.57,0,14.19,1.82,0.72,0.74,1.43,519.99,0,9.53,0,0,0,29.13,0,0,0,0,127.76,0,0,8.57,0,0
 48-58,0,0,10.94,0.4,0,109.58,0.39,0,0.64,18.22,0.76,0,0.39,0.49,0,0.43,0.94,2.46,7.13,7.82,0.53,0.46,0.44,585.48,0,4.08,0,0,0,34.22,0,0,0,0,129.85,0,0,2.72,0,8.59
 60-70,0,1.76,12.23,0.98,0,423.56,1.81,0,0,17.25,2.86,0,0,5.29,0.58,0,0,0,16.66,26.71,1.27,0,0,917.37,1.03,8.42,2.49,0,0,22.22,0,1.68,0,0,110.35,2.15,0,1.11,0,7.35
 72-82,0,1.58,3.21,10.99,0,595.46,4.98,0,1.34,39.98,7.46,0,1.53,3.21,2.11,0,3.93,1.32,0,15.52,1.72,6.4,5.49,753.04,0,9.75,0.84,0,0,13.15,0,0.73,0,0,71.41,10.36,0.66,17.02,0.91,0
 84-94,0,3.91,11.56,5.21,0.84,331.76,0,0.7,0,21.36,5.52,0.6,0,4.37,1.03,1.17,1.59,3.55,0,19.5,3.05,1.41,1.89,497.19,0,6.48,6.89,0,0,39.53,0,1.09,0,0,39.74,7.47,0,13.4,0.68,0
 96-106,0,2.08,11.23,20.55,0,341.84,0,0.62,1.26,43.62,8.61,0,0.97,8.52,5.59,0,6.25,10.53,2.33,32.57,1.17,0.63,0,474.87,0,13.52,0,0,2.81,56.26,0,1.03,0,0,22.32,18.74,5.04,7.31,3.5,15.82
108-118,0,2.37,15.37,14.12,4.77,331.89,0,1.14,5.64,36.05,1.71,0,0,4.69,4.24,3.08,1.63,2.93,1.4,29.52,0.54,1.9,1.62,471.29,0,6.64,2.35,0,0,29.86,0,0.55,0.6,0,22.64,17,0,15.72,0.57,0
120,0,0,15.53,0,0,261.71,0,0,0,48.11,5.14,0,0,1.89,0,1.59,1.77,0,0,57.26,0,0,5.07,658.55,3.33,2,8.45,0,0,22,0,0,0,0,37.41,1.23,0,35.97,0,0
