stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,26.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,17.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.06,0,2.66,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,1.68,15.76,1.8,0,0,0,0,0,0.84,0,1.91,5.16,14.11,0,0,0,0
 24-34,0,0,1.68,0,0.82,0,0,0,0,0,0,0,0,0,0,0,16.36,0,0,9.17,41.73,0.66,0,0,0,0,6.4,0,0,0.94,2.16,7.94,0,1.24,0,0
 36-46,0,0,11.26,0,1.97,1.03,0,4.33,0,0,0,0,0,0,0,0,6.06,0,0.89,1.9,44.76,0.64,0,0.59,0,0,15.08,0,0,0,0,11.12,0,0.98,0,0
 48-58,0,0,4.75,0,7.08,0,1.99,6.6,0,0,0,0,3.16,0,0,11.64,17.34,0,0.52,4.62,28.64,5.85,0,0,0,0,9.01,0,0,0,0,6.41,0,3.95,0,0
 60-70,0,0,1.94,0,12.22,0,0,8.13,0,0,0,0,0,0,0,0,20.34,0,0,1.48,21.88,0,0,0,0,1.9,2.33,0,0,0,0,3.75,0,1.61,0,1.68
 72-82,0,0,6.1,3.9,4.72,2.11,3.87,25.81,0,0,1.75,0,0,0,0,0,29.03,1.63,0,2.03,17.75,0,0,0.59,0,0,8.4,0,2,0,0,0,0,1.63,0,8.11
 84-94,0,0,7.25,0,8,1.21,0,13.69,1.54,0,1.45,0,4.06,0,0,0,30.59,0,1.31,1.68,7.22,0,4.15,0.82,0,2.48,7.48,0,0,0,0,0,0,0.59,1.68,0
 96-106,0,0,16.24,17.91,9.57,0,5.37,12.3,1.47,0,5.63,0,0,1.6,3.09,0,29.84,0.97,0,1.46,25.69,1.47,0,4.63,0,0,16.79,0,0.58,0,0,6.78,0,0.99,1.17,4.35
108-118,0,0,3.92,5.74,10.25,0,2.02,18.67,0,0,0,0.72,2.79,0.66,0,0,45.32,0,6.54,2.82,19.05,0.83,0,0,0,0,12.88,0,0,0,0,6.32,1.55,1.3,0,0.85
120,0,0,8.27,13.27,3.1,1.83,0,23.59,0,1.85,6.47,0,0,0,0,0,61.17,0,0,1.62,36.91,0,9.44,0,0,0,11.15,0,4.05,1.63,0,1.75,0,0,7.96,4.74
