stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.51,304.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.38,0,0,0,0,0,0,0,0,0,0
  5-6,27.6,526.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.21,12.23,0,21.4,0,0,34.35,0,0,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,301.32,51.99,0,0,112.32,0,8.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.81,0,21.24,0,0,53.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.87,32.64,0,0,142.57,0,0,0,22.74,0,0,5.32,0,0,0,0,0
 14-21,0.89,0,0,0.92,113.62,7.09,2.84,1.17,0,5.27,4.63,1.86,0.93,3.05,0,0,0,0,0,18.45,0,0,5.6,109.23,1.9,0,0.91,0.94,0,7.42,15.7,0.82,1.07,14.12,32.3,0,0,3.79,0,0
 24-34,0,0,0.71,1,40.25,0,16.91,2.77,1.73,5.93,2.71,0,2.03,4.07,1.33,0,3.64,1.6,4.22,26.34,0,0,10.12,239.44,0,2.66,1.3,0,0,12.12,0,0.97,0,1.47,48.17,0,0,35.03,0,6.56
 36-46,0,0,0,0,49.85,0,56.09,2.18,0.65,14.62,1.39,0,0,12.61,0.93,0,0,0,6.08,36.52,0,1.73,12.57,294.62,4.48,2.66,1.31,0,0,28.62,0,4.16,0,0,54.28,0,0,10.56,0,13.13
 48-58,0,0,0,0,20.04,0,79.75,12.73,1.35,17.54,0,0,0,11.84,0,1.24,0.97,0,3.79,33.12,1.02,0.77,7.5,248.29,0,0,0.46,0,0.56,22.62,0,0.37,0,0,42.26,0,0,2.68,0,13.04
 60-70,0,0,0,0,26.29,0,123.44,7.92,9.94,25.05,0,0,0,24.24,2.54,0,0,0,0,53.62,0,0.78,1.73,244.03,0,0,1.39,0,0,34.12,0,0,0,0,24.64,0,1.24,9.78,0.73,1.24
 72-82,0,0,1.4,0,14.73,2.64,102.29,8.87,0.58,15.42,2.6,0,1.37,13.29,0.75,3.41,5.73,0.64,0,54.01,0.58,2.27,4.69,134.5,0.56,3.68,3,0,0,6.54,0,0,0,0,8.08,0.53,2.06,2.67,1.43,1.1
 84-94,0,0,0.94,0,28.82,11.39,85.44,8.53,1.02,19.43,6.32,0,0,30.14,4.51,0.85,1.27,2.59,6.93,58.72,2.91,3.58,6.21,107.14,0,0,4.04,0,0.57,38.57,0,1.27,0,0,7.07,0,2.12,16.41,1.74,1.74
 96-106,0,0,0.63,0,27.15,7.93,60.27,4.77,3.29,5.02,6.19,0,2.21,27.47,3.14,0.85,3.31,1.22,0.68,49.75,2.72,1.72,0,121.09,0,0,0.6,0,0,13.32,0,0.7,0,0,3.17,0,0.72,4.38,5.63,3.3
108-118,0,0,0.58,0,42.95,7.79,29.88,18.54,1.08,12.28,3.54,0,0.69,40.75,2.21,2.28,0.76,6.54,2.01,40.64,5.8,6.78,5.58,91.25,0.96,0.45,3.05,0,0,12.83,0,0,0,0,3.36,1.35,0,1.36,2.91,4.59
120,0,0,0,0,34.27,6.96,27.44,8.64,0,19.84,3.82,0,3.65,40.66,0,0,1.77,0,0,54.73,0,17.36,0,70.96,2.85,3.5,0,0,0,27.58,0,0,0,0,0,0,0,15.99,0,0
