stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vasculature
  5-6,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0.89,0,0
 24-34,0,0,0,0,0,0,0,0.68,0,1.31,0.9,0,0,0,0,2.12,0,0
 36-46,0,6.39,0,0.58,0.6,0,0.9,0,1.11,0,9.85,3.05,0,0,0,2.19,0,3.61
 48-58,0,0,0,7.05,0,1.52,0,0,0.52,0,8.91,0,0,0,0.46,2.27,0,0
 60-70,0,0,0,0,0,1.44,0,0,1.42,0,7.71,0,0,0,0,1.2,0,0
 72-82,0,1.84,0.59,7.07,0,0.93,0,0,1.19,0,9.19,0,0,0,0,0,0,2.38
 84-94,0,0,0,2.89,0,1.87,0,0,0,0,1.19,0,0,0,0,0,0,0
 96-106,0,0.87,0,0,0,3.94,0,0,4.92,0,2.36,0,0,0,0,0,0,0
108-118,0,0,0,1.28,0,1.37,0,0,4.56,1.4,5.46,0,2.04,0,0,0,0.91,0
