stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,1190.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0,0,0
  5-6,70.69,722.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,64.26,0,0,0,0,0,0,0,0,0,0,0,61.38,3.96,0,0,15.1,0,28.02,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.76,0,0,0,0,0,0,0,0,0,0,0,35.72,9.41,0,0,11.37,0,19.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,1.76,15.21,2.2,0,0,0,0,0,0,0.91,2.18,0,0,11.82,0,0,73.86,0,0,0,0,2.12,9.65,1.77,4.49,1.38,0,0,16.84,0.86,0,7.73,3.92,0,0,11.36,0,0
 24-34,0,0,1.32,0,19.13,0,0,2.37,0,1.97,0.71,1.65,1.98,2.42,2.46,6.36,10.02,0,2.84,13.78,0,19.91,2.05,0,8.51,65.66,4.15,22.22,5.77,0,0,38.56,1.74,1.14,1.56,13.41,0,0,11.25,0,0
 36-46,0,0,0,0,10.38,0,0,6.25,0,0,3.2,5.23,0,8.29,2.2,1.13,2.39,0,3.41,0.66,0,18.18,4.55,0,7.04,78.61,3.49,22.31,0.8,0,0,66.45,1.54,0,0,6.01,0,0.85,18,0,7.55
 48-58,0,0,0.67,0,3.93,0,0,17.64,0,1.07,5.31,14.63,2.25,0,1.31,2.83,8.28,0.92,5.87,3.98,0.87,41.56,4,0.37,6.64,114.67,1.99,9.96,6.08,0,0,25.43,0,0,0,25.62,0,0,7.73,0,11.1
 60-70,0,0,0.82,0,19.2,5.08,0,51.55,0,4.62,1.37,37.25,5.37,1.21,8,3.87,0,0,6.93,1.19,0.72,94.04,0.84,0.85,4.92,69.32,0.71,5.49,3.37,0,0.66,57.86,2.01,0,0,12.8,2.52,1.33,5.89,0,7.03
 72-82,0,0,9.58,0,16.04,6.33,0,90.87,0,2.01,3.49,47.83,27.41,0,1.52,7.61,1.36,3.2,7.74,5.47,0,125.73,2.07,3.2,8.35,149,0.56,9.65,7.28,0,0,12.22,0.97,0,0,12.62,27.42,0.78,13.75,0.64,8.31
 84-94,0,0,9.22,1.01,51.32,19.5,0,74.09,2.25,9.42,5.68,35.94,91.12,0.77,1.8,23.65,8.51,0.7,10.98,1.24,4.01,110.05,7.1,1.17,3.33,107.86,2.63,13.49,15.13,0,0,83.97,0,0,0,7.14,87.46,0.57,12.31,3.35,2.71
 96-106,0,0,4.17,0,39.16,29.44,0,46.89,0,3.33,8.03,29.93,78.44,0,4.72,18.87,10.6,0.92,18.22,3.96,0,87.52,5.02,6.08,1.29,102.46,0.57,14.52,4.73,0,0,29.9,0,0,0,10.09,82.02,0,16.01,3.66,1.49
108-118,0,0,14.2,0.49,67.82,8.24,3.07,31.31,0.98,5.02,0.59,33.48,84.18,0,0,11.82,4.4,10.31,4.82,5.64,0.52,79.48,13.71,1.99,1.44,119.25,8.4,19.8,5.29,0,0,34.52,4.6,0,0,2.67,90.92,0.88,28.94,3.87,0
120,2.37,0,2.52,0,52.04,16.47,0,49.14,0,7.35,0,19.54,66.16,0,8.57,6.77,3.92,0,3.84,4.47,0,32.56,16.27,0,4.04,180.34,1.39,13.4,0,0,0,11.93,3.24,0,0,21.8,43.62,0,14.32,0,0
