stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,63.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.84,59.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,0,0,6.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.81,0.88,0,0,0,0
 24-34,0,0,0,2.9,0.71,0,0,0,0,0,0,1.76,0,0,1.13,0,0,1.62,0,3.98,0,0,0.75,34.04,30.1,0,0,0,2.22,0,0,0,10.72,0,8.45,0,0.6
 36-46,0,0,0.95,0,0,0,0,6.61,0,0,0,16.62,0,2.41,0,0,0,8.41,0,0.7,0,0,0,13.63,51.14,0,0,0,2.42,0,0,0,8.29,0,0,0,0
 48-58,1.15,0,0.42,0,0,0,0,1.8,0,0,0,45.99,0,1.25,0,0,0,63.81,0,0.59,0,0,0.78,13.46,37.86,0.98,0,0,0.76,0,0,0,2.04,0,0,0,2.35
 60-70,0,0,11.8,0,0,1.36,0,11.37,0,5.6,0.92,123.63,0,2.21,0.61,0,0,139.26,0,4.29,0,0,0,10.96,1.7,0,0,0,0,0,0,0,1.39,0,5.04,0,0
 72-82,0,0,61.81,0,2.58,9.45,5.3,32.97,0,0,6.66,329.27,0,7.89,0,2.49,0,230.35,0,16.86,0,1.3,5.44,72.06,0,0,0,0,3.78,0,0,0,11.7,0,1.35,0,12.59
 84-94,0,0,75.28,1.69,2.22,2.92,21.08,22.25,0,0.87,3.59,624.36,0,0.82,0,0,0.75,649.43,0,28.44,2.96,0,2.75,70.93,0,0,0,0,6.36,0,0,0,5.2,4.4,1.54,0,0
 96-106,0,0,53.91,0.64,13.71,25.5,7.09,39.96,0,0,34.26,865.75,1.64,2.06,0.64,0,0,714.23,0,19.73,0.71,0,0,174.36,0,0,0,0,20.01,0,1.28,0,7.09,0,5.17,0.69,6.27
108-118,0,0,47.87,6.89,1.57,8.8,27.1,37.25,1.32,0,11.65,786.39,0,5.06,1.06,0.87,0,891.74,2.19,31.6,0,0,1.7,177.87,0,0,0,0.95,18.02,0,0.98,0,7.29,0,0.47,0,1.68
120,0,0,57.47,6.35,0,1.11,7.37,19.15,1.49,0,2.23,522.39,0,0,0,0,0,425.16,0,17.91,0,0,2.55,112.85,0,0,0,0,12.95,0,0,0,0,0,2.48,0,11.39
