stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,275.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0
  5-6,7.58,178.07,0,0,0,0,0,0,0,0,0,0,13.76,0,0,0,26.33,0,0,0,0
  7-9,0,9.6,17.45,0,0,0,3.56,0,0,0,0,0,44.58,3.95,0,21.79,0,0,0,0,0
 10-12,0,6.23,0,0,3.98,0,0,0,0,0,0,0,101.97,6.58,0,23.51,0,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,1.32,15.4,0,0,0,0,0.83,0,4.75,0
 24-34,0,0,0,0,1.89,0.9,0,0,0,2.8,0,0,35.15,0,0.61,0,0,0,1.26,3.24,0
 36-46,0,0,0,0,9.45,0.56,0,0,0,0,0,1.05,11.69,0,0,0,0,0,0,3.1,0
 48-58,0,0,0,0,4.94,1.16,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0.82,0
 60-70,0,0,0,0,3.67,0,0,0,1.12,2.44,1.02,0,5.69,0,0,0,0,0,0,0.64,0
 72-82,0,0,0,0,1.31,0.84,0,0,0,1.09,0,0,1.52,0,0,0,3.84,0,0,0,6.06
 84-94,0,0,0,0,0,0,0,0,0,2.79,0,0,8.22,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,14.56,0,0,1.36,0.78,1.68,0,1.04,4.06,0,2,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0
120,0,0,0,1.51,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0
