stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,5.38,3.04,0,1,0,0,0,0,0,0,11.75,0,0.82,0,0,0,0.86,7.41,0,0,0,367.69,1.81,0,0,0,0,0,0,0,0,180.62,0,0,0,0,0
 24-34,0,0.71,0,5.91,0,0,38.31,0,0,1.98,21.04,1.16,0,60.05,1.8,0,3.64,2.33,0.96,0,25.3,0,0,12.59,3357.38,7.1,20.25,0.61,2.91,5.08,0,0,0.69,0.73,820.53,0,0,12.06,0,0
 36-46,0,0,0,5.86,0,0,253.94,0,0,3.55,79.62,0.61,0,58.37,0,0,3.69,0,0,0,24.95,0,4.01,4.84,8640.81,0,21.07,0,0,13.48,0,0,0,0,1642.12,0,0,9.02,1.55,9.66
 48-58,0.39,0.42,0,26.45,6.11,0,1187.4,0.51,5.34,1.01,217.25,0,0,43.79,1.61,0,2.09,0.46,5.16,9.07,80,0.59,10.61,28.95,12136.24,0.57,11.95,0.5,0,4.92,0,0,0,0,2283.93,0,3.07,14.38,0,23
 60-70,0,0,0,37.37,4.94,0,1974.91,0,11.21,15.22,215.12,1.91,0,27.29,9.6,13.69,23.39,0,3.79,0,77.89,3.12,6.21,8.37,13020.12,0.83,9.72,2.65,0.82,21.48,0,2.71,0,0,1703.71,0,7.54,3.08,11.37,43.73
 72-82,0,2.29,0,41.82,20.86,0,2724.66,2.43,7.03,10.05,270.88,0.56,0.5,6.94,3.91,1.43,29.88,4.83,0,0,137.61,1.59,45.15,4.47,9947.64,0,11.47,7.75,8.69,15.64,0,0,1.5,0,1034.16,3.27,11.3,31.01,53.2,31.28
 84-94,0,0,0,70.78,1.34,0,2253.62,0,2.4,5.69,157.54,3.82,0,31.21,4.15,1.25,34.75,1.25,0,4.45,91.6,0,27.14,8.17,6606.61,0,7.75,4.74,15.5,9.38,0,0,0,0,734.61,3.97,3.51,18.95,61.63,0
 96-106,0,2.45,0,55.59,59.74,0.6,2347.67,0.57,0.57,13.53,175.81,4.88,0,20.87,4.9,0.7,86.73,4.66,24.12,6.45,152.09,1.47,6.29,5.53,5660.84,0,21.49,6.23,15.3,39.47,2.06,0,0,0,306.62,0.61,15.06,23.95,32.31,5.31
108-118,0,0,0.59,66.58,19.75,0,2554.7,0,3.67,1.27,226.51,3.19,0,19.76,3.87,2.09,169.48,0,3.5,1.34,119.74,1.14,19.53,4.58,9446.74,1.26,22.31,5.48,32.27,9.65,0,0.84,0,0,348.89,5.2,2.98,12.14,54.05,11.11
120,5.65,2.96,0,38.36,5.84,0,1938.08,2.24,0,21.39,166.08,9.04,0,7.14,8.76,0,202.31,0,0,0,127.74,0,9,11.08,10054.85,8.03,18.25,15.16,0,8.3,0,8.1,0,0,384.58,1.84,15.28,8.52,0,15.39
