stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.82,1016.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.42,865.82,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,17.23,0,0,0,49.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,79.88,47.17,43.65,0,0,0,195.99,0,0,0,0,126.77,0,0,0,0,0,0,0,0,0,0,1421.63,72.21,0,0,404.15,0,13.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.24,68.53,0,14.19,0,57.68,0,0,0,0,23.81,0,0,0,0,5.32,0,0,0,0,0,1219.73,67.6,0,0,406.87,0,0,0,85.55,0,13.26,0,0,0,0,0,0
 14-21,0,0,1.82,15.93,3.19,0,2,0,0,0.91,0,0,0,1.83,0,0,0,0,6.16,0,0,4.76,66.26,2.08,0,4.13,2.55,0,0,9.4,0,2.57,6.6,20.85,0,0,0,0,0
 24-34,0,0,0,7.73,0,0,9.2,0,0,1.83,0,2.21,0,1.09,0,0,0.65,1.37,10.61,0,0,7.25,106.74,0,0.59,3.03,0,5.23,0,0,0,0,1.44,28.75,0,0,5.32,0,0.89
 36-46,0,0,0,0,0,0,6.03,0,1.89,4.41,0,0,0,0,0,0,0,0,2.42,0,0,0.62,43.54,0,0,0,0,0.57,0,0,0,0,0,8.47,0,0,0,0,0
 48-58,0,0,0,0.47,0,0,35.96,0,0.42,9.18,0,0,0,0,0.42,0.4,0,0,17.82,0,0,0.59,69.41,0,0,0,0,0.38,0,0,0,0,0,10.9,0,0,2.56,0,1.43
 60-70,0,0,0,2.61,0,0,28.49,3.1,0,6.37,1.76,0,2.37,0.62,0,0,0,0,31.56,0,0.64,4.1,59.43,0,0.89,0,0,0.67,0,0,0,0,0,6.9,0,0,1.34,0,0.69
 72-82,0,0,0,0.68,6.16,0,17.85,0,5.83,12.38,0,0,1.97,0,0,0,0,0,9.29,1.2,0.76,1.67,35.15,0,0,0,0,0,0,0,0,0,0,1.77,0.69,1.75,0.63,0.69,0
 84-94,0,0,0,0.68,0.6,0,14.24,0,0.65,1.76,0.73,0,0,0,0,0,0,0,8.77,0,0,0,38.54,0,0,0.6,0,1.58,0,0,0.74,0,0,0.9,0,0.57,0,0,0
 96-106,0,0,0,0.8,3.16,0,21.3,0,0,2.09,0,0,0,0,0,0,0.61,0.75,13.43,0,0,2.86,17.76,0,0,0.61,0,4.7,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.65,3.52,0.71,0,1.88,1.36,0.49,0,0,1.96,0,0.71,0,0,0,12.98,0,0,0.81,11.16,0.58,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0
120,0,0,0,23.45,0,0,6.65,16.47,0,0,2.44,0,0,0,0,0,0,0,6.19,0,0,0,31.54,1.08,0,0,0,6.28,0,0,0,0,0,0,0,0,0,0,0
