stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0
 14-21,0,28.14,0.81,0,0,0,0,0,3.7,6.89,3.46,0,0,1.17,1.11,6.32,9.99
 24-34,10.52,7.94,0,0.77,0,1.4,0,0,3.66,2.04,5.4,0,0,0,0,5.17,5.11
 36-46,12.7,0.87,0,0,0,1.44,0,0,1.62,0.65,9.04,0,0,0,0,0,4.72
 48-58,30.63,4.23,0,0,0,0,0,0,2.37,0.79,35.64,0,0,0,0,0,0.49
 60-70,0,9.73,0,1.66,0,0,0,0,16.71,0,86.48,0,0,0,0,0,0
 72-82,13.77,0,0,35.9,0,1.05,0,0,8.92,0,320.87,0,0,0,0,0,0
 84-94,4.1,6.49,0,42.12,0,0,0,0,2.02,1.76,252.6,0,0,0,0,0,0
 96-106,9.92,6.14,0,10.63,2.7,27.55,8.27,6.17,0.78,0,269.6,0,0,0,0,0,0
108-118,16.07,7.16,0,30.25,0,0,0,0,15.57,0,375.24,0,0,0,0,0,15.16
120,21.29,0,0,56.3,2.48,21.99,0,0,14.61,0,288.48,14.68,0,0,0,0,0
