stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.46,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.28,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,2.94,0,0,0,2.19,3.56,5.09,0.92,0,0,0,0
 24-34,0,0,13.08,0,0,1.35,0,0,0.74,0,0,0,2.52,0,0,0,0,0,0.89,10.52,8.6,0,0,0,0,0,0,1.79,0,1.08,0,0
 36-46,0,0,2.35,0,0,11.78,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,6.6,0,0,0,0,0,0,0,0,1.99,0,0
 48-58,0,0,0,0,0,11.09,0,0,1.27,0.54,0,0,0,0,0,0,1.2,0,0,6.08,26.21,0,0,0,0,0,0,0,0.64,0,0,0
 60-70,0.81,0,0,0,0,146.85,0,0,3.55,0.92,0,0,0,5.56,0,0,6.82,0,1,0,5.39,0,0,0,0,0,0,0,1.31,0,0,0
 72-82,0,0,0,0,0,485.46,0,0,0,6.39,0,0,0,0.72,0,0.82,12.31,12.68,0,6.11,0.56,0,4.01,7.04,0,0,0,0,6.72,0.97,0,4.25
 84-94,0,0,3.93,0,0,660.85,0,0.59,0,0.59,0,0,0,0,0.61,0.62,8.75,1.6,0,0.91,1.79,0,4.19,4.56,0,0,0,0,1.5,0,0,0
 96-106,0,0,10.1,7.84,0.66,922.98,1.15,0,0,1.04,0,0,0,1.45,1.28,0,12.33,0,4.11,15.61,0,0,0,1.81,0,1.49,0,0,4.29,0,0,0
108-118,0,0,3.74,0,0,877.82,0,0,0.51,0,0,0,0,1.66,0,0,14.1,0,0.91,12.61,0,0.77,12.29,3.06,0,0,0,0,1.35,0,0.44,0
120,0,0,0,3.04,0,1709.69,0,3.37,0,2.04,1,0,0,0,0,0,3.99,15.95,1.82,46.1,2.55,0,33,0,0,0,0,0,12.37,0,0,0
