stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,125.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,130.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0,0,24.08,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.91,0,0,0,3.1,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,25.98,1.03,0,0,0,0,0,1.39,0,0,0,0
 36-46,0,0,0,0,1.34,0,0,0,0,0,0.62,0,0,0,0.61,0,0,0.73,59.62,0,0,7.09,0,0,0,3.99,0,0,0,0
 48-58,0,0,0,0,13.51,0,4.23,0,0,0,0,0,0,0,4.66,0,0,0,52.36,1.65,0,0,0,0,0,7.05,0,0,0,0
 60-70,0,0,3.94,0,16.91,0,2.51,0,0,42.39,0,0.64,0,0,18.09,0,0,1.45,76.38,0.89,0,0,0.99,0,0,2.78,0,0,0.64,0
 72-82,0,0.49,0.55,0,22.71,0,3.88,0,0,420.15,0,0,0,0,2.54,0,0,0.61,138.53,0,0,0,0.52,0,0,2.52,0,0,1.18,0
 84-94,0,0,5.22,0,16.9,0,2.29,1.01,0,220.64,0,0,0,0,5.02,0,0,2.9,62.31,3.35,1.63,0,0,0,0,0,0,0,1.11,0
 96-106,0,0,5.6,0,69.8,0,5.37,0,2.78,1142.45,0,0.75,0,0.97,6.86,2.09,2.34,4.38,90.21,62.27,0,0,5.22,0,0,2.21,0.81,0,0.59,0
108-118,0,0,1.39,1,13.08,0.55,5.49,0,0.88,973.76,10.99,0,0.53,0,29.38,0,0,2.01,67.03,5.85,0,0,9.33,6.43,0,3.19,0,0.71,24.22,0
120,0,0,0,0,27.95,0,9.31,1.24,0,1336.86,1.65,0,0,0,6.51,0,0,0,158.01,0,0,0,0,0,0,0,0,0,0,8.45
