stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,26.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,30.86,0.67,0,8.41,0,0,2.23,0,0,0,0,1.95,3.04,0,12.08,76.27,0.68,2.17,0,1.11,0,0,7.08,0,0,3.48,10.3
 36-46,0,7.4,0,0,0.67,1.06,0,1.34,0,0,0,0,0,2.06,0,0.93,17.37,0,0,0,0,0,0.6,2.84,0,0,0,0.97
 48-58,0,0,0,0,5.13,0.93,0,0,0,0,0,0,0,7.48,0,0,11.16,0,1.2,0.7,56.32,1.48,0,3.09,0,0,0,0
 60-70,0,7.02,0,0,9.87,0.96,0,1.12,0,0,0,0,0,3.29,0,0,9.28,0,0,0,2.61,0,0,0,0,0,0,0
 72-82,0,2.98,0,0,4.07,0,0,2.17,0,0.87,2.68,0,0,4.12,0,1.24,169.22,0,0,0,50.07,0,0,0,1.22,0,1.16,1.88
 84-94,0,0.63,3.2,0,1.39,0,0,3.76,1.36,4.87,0,0,0,0,0,0,10.03,0,0,0,2.1,0,0,0,0,0,0,0
 96-106,0,6.58,0,0,9.07,1.24,4.87,10.07,0,0,0,0,0,4.01,0,0,307.25,0,2.47,0,3.25,0,0,9.87,0.87,2.56,2.33,0
108-118,0,2.94,6.48,0.59,30.55,0,0,6.18,0.81,0,0.71,3.03,0,14.23,0,0,1003.89,0,0,0,2.53,0,0,0.7,0,0,2.73,4.31
120,0,4.07,0,0,0,0,0,9.05,0,0,0,0,0,19.12,1.38,0,21.64,10.25,0,0,0,0,0,0,0,6.45,0,0
