stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.08,765.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.83,1625.92,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,50.97,0,0,0,32.21,0,16.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,31.83,35.79,0,29.62,0,0,129.71,0,0,0,0,0,41.12,0,0,0,0,0,0,0,0,0,0,0,1195.06,94.38,0,0,428.03,0,8.05,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.23,0,63.11,0,0,116.21,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,1176.16,33.11,0,0,364.23,0,3.3,0,0,37.52,0,7.71,0,0,0,0,0,0
 14-21,2.31,0,1.29,8.87,74.19,14.83,44.02,0,0,0,12.86,2.53,1.91,0,0,4.48,0,1.33,0,1.01,48.2,0,0,40.1,539.86,5.95,2,4.38,8.42,0,3.82,3.29,43.6,2.55,3.55,45.66,190.44,0,0,4.94,0,0
 24-34,0,0,1.52,2.89,36.69,1.3,57.56,0,0.64,0,23.92,1.02,0,1.37,0,2.56,0.92,2.52,0.66,0,86.35,2.44,0,31.42,685.37,0.74,7.52,6.54,0,0,4.36,0,0,1.61,0.91,7.25,193.16,0,0,29.43,0,0
 36-46,0,0,0,0.72,8.11,1.04,117.93,0.85,0.58,1.38,30.66,0,0,1.77,3.24,0.56,0,1.4,0,2.49,96.25,0,0.71,22.79,777.33,3.9,6.75,0.83,0,0,9.78,0,0,1.42,0,0,189.84,0,0,8.5,0,0
 48-58,0,0,0,0,2.31,0,115.48,0,6.92,1.29,23.21,0,0,0.51,0,0.44,0,1.49,0,0,45.62,0.39,2.67,9.07,375.09,1.28,1.59,6.56,0,0.45,3.4,0,0,0.42,0,0,87.41,0,0,4.5,0,0
 60-70,0,0,0,0,8.21,2.15,198.33,0,0,3.1,38.26,0.62,0,0.9,0,0,0,0.63,0,0.86,119.28,0,2.33,10.11,607.44,0.7,3.24,3.25,0,1.22,13.11,0,0,0,1.38,0,115.35,1.42,3.13,4.74,0,0
 72-82,0,0,0.62,0,7.92,5.78,127.37,0,0,0.57,39.01,4.6,0,1.08,1.19,0,3.06,0.55,0,0,119.97,0,2.26,10.99,296.87,0,1.86,1.83,0,0,6.84,0,0,0.97,0,0,44.9,2.82,1.84,9.51,1.16,0
 84-94,0,0,5.29,0,23.37,13.84,144.22,0,1.48,6.19,30.75,5.97,0.66,2.42,6.39,3.77,2.41,1.52,0.67,0,127.93,0,1.94,14.38,399.22,2.06,4.57,18.55,0,0,11.41,0,0,3.77,0.63,0,65.42,3.38,1.98,14.29,0.98,8.05
 96-106,0,0,0,0,7.91,14.14,92.15,0,0,2.44,33.72,4.26,0,2.01,2.44,1.92,1.5,3.56,2.98,0,89.24,0,8.8,7.29,210.58,0.62,4.56,8.3,0,0,10.51,0,0,0,0,0,31.08,1.35,0,10.53,4.5,8.62
108-118,0,0,0,0,22.24,14.99,113.28,0,12.67,7.33,40.21,3.13,0,3.54,1.21,5.21,5.18,7.36,0.52,0.61,164.91,0,8.25,12.91,436.16,2.05,5.28,7.26,0,4.59,14.99,0,0,0,0,0,26.11,0.96,0,13.36,12.8,6.09
120,0,0,0,0,8.3,2.88,74.47,1.01,2.96,1.92,41.63,3.16,0,6.47,2.06,0,17.67,4.94,0,0,130.03,0,3.83,1.82,312.86,1.03,4,6.74,0,0,5.1,0,0,0,0,0,14.2,1.81,0,4.29,2.7,0
