stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.75,423.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.94,318.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.95,0,25.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.19,7.96,0,0,29.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,4.26,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,45.41,3.56,0,0,12.27,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,1.67,0,0,2.45,0,0,0,0,0,0,0,0,2.02,0,0,0,23.78,0,0,0,0.85,0,0.84,1.23,0.98,1.78,0,0,1.84,0,0,0,0,0
 24-34,0,0,0,2.14,0.71,0,6.9,0,0,0.97,0.92,0,0.6,0,0,0,0,0,16.19,0,0,1.35,58.72,2.7,0,0,0,0,0,0,0,5,0,0.6,10.2,0,0,0,0,0.62
 36-46,0,0,0,0.56,0.55,0,3.42,6.48,0,0,0,0,0,0,0,7.94,0,0,12.35,0,0,3.08,15.45,0,0,0,0,0,0,0,0,8.32,0,0,12.26,0,0,1.03,0,0
 48-58,0,0,0,0,0,0,2.78,0,0.67,0,0,0,0,0,0,0,0,1.77,15.37,0,0.39,0.83,5.69,0.93,0,0,0,0,0.54,0,0,1.49,1.71,0,1.06,0,0,0,0,0
 60-70,0,0,0,0,0,0,11.33,0,1.47,5.86,0,0,0,0,0,0,0,0,20.86,0,2.3,0,3.88,0,0,0,0,1.19,22.35,0,0,16.06,0,0,0.87,0.84,0,0,0,0
 72-82,0,0,0,0,4.49,0,0.62,0.55,2.14,3.6,0,0,0.51,0,0,0,0,0,37.88,3.05,0,0.51,6.45,0,0,0,0,0,6,0,0,0,0,0,0.61,41.48,0,2.76,2.32,0
 84-94,0,0,0,0,7.69,3.37,9.2,0,0,1.26,5.42,0,0,1,0,0,0.66,0,21.22,0,0.57,4.37,6.01,0.61,0,2.19,0,0,45.36,0,0,1.16,0,0,7.75,170.36,0,1.81,1.17,0
 96-106,0,0,0,0,5.26,2,24.35,0,0,5.63,3.41,0,3.25,0.7,1.59,1.48,0,6.44,37.61,0.83,3.65,2.68,17.68,0,0,0.65,0,2.61,27.83,3.39,0,1.22,0,0,0,596.94,0,1.56,2.93,0.86
108-118,0,0,0,0,5.67,2.3,13.72,0,0,10.96,4.22,0,0,2.54,0,0.47,0,8.14,30.9,2.14,2.52,5.4,20.72,0,1.43,0,0,0,33.61,0,0,0,0,0,1.27,789.38,2.1,0.55,0,0
120,0,0,0,0,40.4,0,1.46,1.75,0,1.16,0,0,0,0,0,0,0,1.58,40.85,0,0,0,5.74,1.24,0,0,0,0,19.13,0,0,1.14,0,0,2.5,250.82,0,0,0,0
