stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,18.76,372.19,3.61,0,8.31,0,0,0,1.03,0,1.07,0,6.69,0,0,2.38,0,58.78,0,0,25.66,46.54,1.01,0.93,0,0.83,0,26.78,0,18.37,62.13,7.81,11.68,10.69,0,0,0,0,0
 24-34,0,0,29.74,231.09,0.89,0,15.66,0,3.2,0.76,0,2.99,0,0,5.21,0,0.63,8.27,0,374.51,3.81,0,74.32,120.1,13.32,0,1.94,0,0,15.41,0,0,188.94,1.64,11.86,26.85,0,0,14.12,0,3.12
 36-46,0,0,2.97,182.17,5.75,0,20.89,11.45,28.96,16.75,13.22,11.84,22.56,2.69,1.57,4.45,0,24.92,0,1351.68,0,3.21,257.37,170.92,27.04,1.14,1.56,0,1.69,3.44,0,14.54,148.78,4.85,1.38,23.71,0,0.62,21.51,0.78,7.87
 48-58,0,0,0,229.55,0,0,74.35,15.11,49.13,33.8,14.09,11.69,45.44,1.05,0.37,3.89,0.59,11.7,8.5,1804.59,0,4.82,187.5,139.69,49.07,0,1.2,0,4.56,0.41,0,0,69,0.89,0,36.2,0,2.65,18.26,0.81,28.61
 60-70,0,0.57,0,270.76,0.64,0,65.17,6.25,41.39,35.21,61.42,34.09,114.88,0,11.35,11.45,0,13.87,0,2787.25,1.7,22.65,156.13,194.28,24.07,2.69,0.8,0,117.52,0.74,0,0,79.41,3.41,0,14.76,1.23,18.28,41.09,11.37,12.38
 72-82,0,2.55,1.33,205.89,3.85,1.58,101.8,7.98,44.57,84.12,40.95,84.12,105.13,3.04,1.58,21.59,4.66,8.8,0,2139.99,5.25,34.27,115.06,172.39,17.35,5.7,2.66,0,67.34,3.54,0,0,58.31,0,0,16.64,2.95,41,81.65,19.14,8.09
 84-94,0.62,0,5.62,322.94,1.59,4.17,135.52,1.34,59.68,48.93,26.03,118.31,65.06,0.84,1.78,25.04,0,16.13,2.28,1487.15,3.43,31.07,63.85,97.06,15.58,4.35,13.88,0,53.88,2.23,0,0,72.92,1.39,0,9.05,3.77,22.49,48.59,28.14,9.47
 96-106,0,1.07,6.89,480.47,21.21,0.56,229.39,1.42,101.18,48.02,89.48,150.8,154.81,2.34,2.33,11.78,1.61,9.94,1.5,1512.73,6.42,73.01,65.85,267.25,10.72,10.74,9.79,0,56.22,9.41,0,0,95.16,0,0,17.02,4.37,45.37,83.08,23.7,3.29
108-118,1.01,0.57,9.94,475.04,4.48,8.98,221.99,0.88,149.47,37.64,53.85,161.31,51.99,4.49,2.21,19.48,0,8.52,1.98,1598.34,3.49,40.9,55.73,179.41,11.4,11.41,12.14,0,110.61,2.97,0,0,68.38,2.35,0,2.65,6.19,40.06,68.57,13.72,3.93
120,0,0,3.17,436.37,5.11,0,91.35,0,123.49,18.64,39.25,114.86,93.38,0,5.55,19.37,0,19.26,0,1510.67,2.8,80.96,68.39,170.17,8.21,6.28,14.31,0,99.76,1,2.5,0,49.89,0,0,0,4.97,67.83,99.82,45.14,0
