stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,93.36,1.26,0,0,0,1.07,62.62,0,0,0,0,3.38,3.77,0,0,0,2.08,5.74,1.64,0,0,190.56,0
 24-34,0.69,9.41,1.95,0,0,0,2.47,108.96,0.95,0,0.78,0,8.23,41.53,0,0,1,2.61,0,0.67,8.67,0,746.01,0
 36-46,0,13.98,2.49,0,0,0,1.26,150.16,0,3.78,1.85,0,2.49,28.92,3.6,0,0,2.23,0,0,2.02,0,637.42,0
 48-58,0,0.44,1.83,2.17,0,0,5.94,85.7,0,0,1.18,0,0.5,33.17,0,0,0,0.81,0,0,0,0,81.99,0
 60-70,0,0,2.04,9.85,1.64,0,2.63,82.09,0,0,2.62,0,0,1.95,0,0,0,0,0,0,0,1.96,18.63,0.78
 72-82,0,10.4,6.28,0,0.97,0,0,45.35,0,0,10.11,0,0,4.47,0,0,0,1.52,0,0,0,0,59.4,11.52
 84-94,0,0,0.8,0,0,0,4.12,52.6,0,0,1.2,0.55,0,11.8,0,2.48,0,0,0,0,2.94,1.08,40.37,0
 96-106,0,0,2.12,0,0,0.63,0,67.03,1.4,0,0,1.68,0,0,0,0,4.14,0,0,0,0,0,43.2,3.46
108-118,1.1,0,6.54,0,0,0,0,54.15,0,0,1.14,0,0,3.07,0,10.11,0,0,0,0,0,0,55.23,0
120,0,0,0,0,0,0,0,54.52,0,0,1.91,9,0,2.69,0,0,0,0,0,0,0,0,78.55,17.64
