stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.28,0,0,6.8,0,0,6.05,0
 14-21,8.74,1.03,0,0,0,1.13,0,0,0,2.52,1.01,0,0,0.88,0,0,2.17,4.62,2.04
 24-34,2.21,0,0,0,0,0,0,0,0,4.94,0.95,1.64,0,0,0,0,0,2.47,0.98
 36-46,0,0,0,0,0,0,0,0,1.15,1.06,0,9.84,0,0,0,0,0,0,1.13
 48-58,2.34,0,0.69,2.9,0,0,0,0,0,10.95,0.8,8.03,0,0,0,0,0,0,0
 60-70,0,0,2.49,0,0,0.83,0,0,0,14.06,0,0.79,0,0,0,0,0,0,0
 72-82,0.77,0.77,1.13,0,0,0,0,0.58,0,33.74,0,3.15,0.58,0,0,0,0,0,0
 84-94,0,0,1.21,0,0,0,0,0,0,8.07,0,1.1,0,0,0,0,0,0,0
 96-106,0.71,0,2.21,0,0,0,0,0,0,11.32,5.87,13.54,0,0,0,0,0,0,0
108-118,0,0,0.58,0,0.55,1.12,0,0,0,21.85,0,0,0,0,0,1.21,0,0,0
120,0,0,0,0,0,0,1.1,0,0,29.71,0,0,0,1.98,0,1.89,0,0,1.19
