stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,175.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,51.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.53,24.05,0,8.54,0,0,14.27,0,0,0,0,0,93.68,0,0,0,0,0,0,0,0,0,0,0,73.08,16.7,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.33,0,0,0,0,0,34.29,0,0,0,0,0,0,0,0,0,0,0,84.97,28.69,0,0,24.48,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,1.33,21.08,5.62,17.55,0,0,0,2.49,0,0,0,0,0,0,0,0,10.11,34.39,0,0,10.32,129.16,0,0.96,0.95,0.86,0,0,0,3.2,1.74,65.36,0,0,43.14,0,37.72
 24-34,4.02,0,2.57,0,13.73,2.05,31.19,0,0,1.35,6.99,0,0,4.43,0,0,0,2.4,2.41,65.24,86.3,0,0,6.16,802.98,6.33,0.78,1.62,0,0,6.72,0,0,0.6,150.66,0,0,197.97,0,125.1
 36-46,0,0,5.56,0,2.92,0,38.42,0,0,2.17,66.67,0,0,1.37,0,0,2.47,0.95,0,55.47,100.94,0,0,7.44,985.31,5.5,0,1.6,0,0,0,0,0,0,193.95,0,0,95.1,0,88.79
 48-58,0,0,0.54,0,0,0,88.89,0,0.39,2.69,94.58,0,0,0.88,0,0,1.31,0.91,0,25.07,104.14,0,0,6.39,661.73,9.79,0,0.89,0,0,0,0,0,0,138.98,0,0,65.88,0,94.17
 60-70,0,0,0,0,1.88,5.79,236.5,0,2.48,3.09,150.73,0,0,0.88,0,0,0.93,0,0,40.81,119.15,0,0,5.81,467.29,5.06,1.51,1.75,0,1.22,0,0,0,0,98.13,0,0.94,31.87,0,131.82
 72-82,0,0,0,0.75,2.68,0,174.8,0,0,12.32,160.34,0,0,1.67,0,0,4.24,0.76,0,3.47,204.32,0,3.71,8.37,367.31,0,0,12.63,0,0,0.64,0,0,0,49.75,0.8,3.88,47.71,0,115.42
 84-94,0,0,0.81,0,4.52,0,201.28,1.17,8.08,5.33,134.04,1.18,1.55,0,1.64,0,3.64,0,0,5.04,173.24,0,5.2,5.77,287.01,0.58,0,2.43,0,0.6,0,1.62,0,0,56.65,0,1.21,38.07,0,80.35
 96-106,0,0,0.9,0,3.77,4.88,130.94,0,0,5.32,119.64,3.49,1.32,2.6,3,0.68,2.38,0,6.33,5.79,129.39,2.99,3.63,6.69,345.83,0,0,7.95,0,0.97,1.58,1.74,0,0,8.72,0,2.38,67.18,1.85,103.63
108-118,0,0,1.83,0,6.59,0,124.5,0,0,7.49,115.68,0.89,0,0,2.88,0.42,11.06,0,2.42,17.98,138.8,0.77,1.62,3.48,318.2,0,0.77,5.48,0,0,1.75,0,0,0,13.16,0,2.38,39.3,2.94,92.6
120,0,0,0,0,3.64,4.3,146.63,0,0,1.44,123.26,0,0,0,10.72,0,5.85,0,0,2.66,144.64,1.65,0,9.71,475.38,0,8.55,10.51,0,0,0,0,0,0,22.28,0,0,32.05,4.22,22.55
