stage,epidermis,eye,fast.muscle,fin.epithelia,glial,lateral.line,melanocytes,mesenchyme,neural,otic,spinal.cord
 14-21,0.9,0,0,0,0,0,0,0,0,0,0
 24-34,0.6,0,0,0,0,0,0,1.07,1.19,0,0
 36-46,0,0,0,0,0,0,0,0,0.94,0,0
 48-58,0,2.84,0,0,0,0,0,0,0.59,0,1.99
 60-70,0,29.17,0,0,0,0,0,0,2.03,0,0
 72-82,0,85.96,0,0,0,0,5.42,1.85,8.77,0,0
 84-94,0,84.65,0,0,0,0,0,1.28,2.06,0.89,0
 96-106,6.79,143.51,0.86,0,1.19,0.77,0,0.58,15.47,0,0
108-118,0,184.37,0,0,5.18,0,0,0,11.62,0,0
120,3.26,182.16,0,4.42,0,0,0,0,20.83,0,0
