stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.05,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.97,4.71,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.31,3.08,0,0,36.58,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.13,3.42,1.18,0,1.78,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,158.09,0,7.79,0,0,0,0,0,0.93,0,3.82,58.95,0,0,0,0,0
 24-34,0,0,3.81,5.64,0,0,9.92,0,0,0,8.28,2.51,0,0,0,0,0,0,0,1.21,2.19,0,1.87,1194.75,0,88.9,0,0,0,10.22,0,0,0,0,256.61,0,0,0,0,0
 36-46,0,0,4.31,0.64,0,0,8.18,0,1.39,0,18.73,0.95,0,0,0,0,0,0,0,2.07,1.01,0,0,2272.22,2.73,173.49,0,0,0,18.54,0,0,0,0,331.81,0,0,6.7,0,0
 48-58,0,0,3.2,22.73,0,0,176.37,0,0,0,59.21,0,0,0,0,0,0,0,0,26.87,1.91,0.43,7.79,3492.73,1.94,145.96,0,0,0,2.99,0,0,0,0,439.39,0,0,0,0,10.07
 60-70,0,0,2.08,17.38,0,0,437.69,1,3.13,2.34,92.42,0.94,0,8.52,0,0,0,0,2.79,19.72,1.27,0.75,0.62,5126.09,0,178.86,0,0,0,18.16,0,0,1.95,0,448.07,12.98,0,1.56,0,1.96
 72-82,0,0,13.85,54.43,1.51,0,666.88,0,1.57,0,145.15,9.58,0,0.64,0,2.19,0,0,0,49.64,0,0.72,5.12,6282.68,0,229.03,0,0,1.42,3.56,3.31,0,0,0,378.5,61.13,0,1.49,0.76,0
 84-94,0,0,7.11,32.24,6.32,0,575.97,0,0.68,0.67,70.66,16.45,2.23,2.63,0.74,0.67,4.48,19.91,0,41.41,0,1.33,9.36,4169.7,0.94,195.87,0,0,0,11.16,0,0,0,0,238.24,172.25,0,7.57,2.23,5.88
 96-106,0,0,28.76,35.4,23.2,1.85,456.01,3.09,2.25,0,88.75,13,0,5.37,4.15,1.89,0,45.66,0,51.76,1.15,3.31,10.45,3926.86,0,276.19,0,0,0,12.38,2.06,0,0.73,0,111.21,337.02,1.22,0.68,0,4.25
108-118,0,0,26.29,32.23,3.67,0,472.61,1.3,1.09,1,103.86,8.8,0,2.45,0,0,1.69,3.21,0,46.3,0,0,0.94,4671.81,0,206.78,3.15,0,0,4.91,0,0,0,0,116.44,373.14,0,0,1.03,0
120,0,0,3.73,66.55,16.44,0,827.91,0,0,0,106.33,8.44,0,4.1,0,0,0,0,0,59.38,0,2.35,6.88,7304.41,0,231.4,3.96,0,0,5.42,0,0,6.61,0,109,141.79,0,7.02,1.43,11.4
