stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,63.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,17.65,4.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,1.84,20.2,0,3.38,0,0,0,0,1.78,0,0,0,0
 24-34,0,0,0,1.21,0,2.67,0,1.29,0,0,0,0,0,0,0,0,0,0,4.82,0,0.65,213.2,0,7.77,0,0,2.95,0,37.22,0,0,0,0
 36-46,0,0,0,0,0,3.6,0,0,0,0.98,0,0,0,0,0,0,0,0,16.21,0,0,537.46,0,23.85,0,0,1.36,0,69.54,0,0.91,0,0
 48-58,0,0,0,5.16,0,24.98,0,0.42,0.43,15.1,1.77,0,0,0,0,0,0,0,23.36,0,4.34,862.66,0,15.73,0,0,0,0.9,87.47,0,1.72,0,0
 60-70,0,0.65,0,2.51,0,68.41,0,0,0.81,3.06,0,0,0,0,3.38,1.16,0,0,15.69,0,4.93,1223.06,0,3.11,0,0,2.85,0,178.82,0,0,0,0
 72-82,0,2.56,0,14.94,0.54,104.24,0.79,3.32,0,3.85,4.6,0,0.5,0,0,0,0,4.99,22.49,0,1.43,1099.37,0,3.92,0.75,2.27,0,0,153.69,0,3.45,0,2.01
 84-94,0,16.96,0,1.72,0,103.25,1.17,4.84,1.78,12.87,1.52,0,0,0,0.67,0,0,0,35.31,0,0,725.1,5.19,22.6,0,0,0,0,119.09,0,0,0,0
 96-106,0,7.16,0,5.59,5.55,92.12,0,1.65,2.78,6.44,2.65,0,0,0,0,0,0,0,22.72,2.28,0,615.16,0,16.46,0,0,2.19,0,44.97,0,0,3.23,0
108-118,0,5.75,0,7.29,2.68,48.11,0,7.14,2.03,4.96,3.31,0,0,2.7,0,0,1.12,0,16.67,0,2.24,833.65,0,7.07,0.45,0,0.95,0,25.93,3.81,0,0,0
120,0,0,0,6.38,0,83.24,0,0,0,33.57,0,0,0,0,0,0,0,0,29.47,0,2.8,924.07,1.55,6.06,0,0,0,0,37.31,0,0,0,0
