stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.77,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0
 48-58,0,0,0,0.85,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0
 60-70,0,0,0,0,0,0,1.61,0,0,0,0,8.73,0,0,0,3.2,0,0,0,0,1.74,0,0
 72-82,0,0,0,0.82,0,0.97,34.29,0,0,0,0.61,0,0.69,0,0.99,27.04,0,1.06,0,0,0,0,0
 84-94,0,0,0,17.46,0,0,71.52,0,0,0,0,6.69,1.62,0,0,11.5,0,0,0,0,0,2.36,0
 96-106,0.63,1.77,0,27.09,0,0,360.26,0,0.73,0,0,0.88,6.31,0.56,0,66.33,0,0.67,0,0,1.8,0,0
108-118,0.85,3.69,8.17,10.91,0.94,13.71,554.23,3.5,0,0.59,0,17.04,11.52,0,0,64.53,0,0,2.53,5.16,1.47,0,1.23
120,0,0,0,6.04,0,0,307.24,0,0,0,0,12.43,10.12,0,0,60.56,1.12,0,0,0,7.97,0,3.48
