stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,65.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,13.58,7.99,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,50.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.07,0,0,0,0,1.54,4.42,0,0,0,3.53,0,0,31.42,1.25,0,0,0,0,0,1.4,0,0,0.87,11.87,0,0,0,0,0
 24-34,0,0.6,0,0.76,0,0,11.9,0,0,0,0,4.1,0,0.8,220.69,1.05,0,0.69,0,0,0.75,0,0.79,0,0,52.26,0,0,0.93,0,0
 36-46,0,0,1.36,1,1.13,0.72,97.87,0,0,0,0,13.16,0,0,384.18,0,0,0,0,0,0.85,0,1.06,0,0,252.91,0,0,0,0,0
 48-58,0,0,0.94,12.63,0,0,272.77,0,0,0,0,22.39,0,1.38,207.13,0,0.86,0.4,0,0,0,0,0,0.94,0,314.75,0,0.37,0,0,0
 60-70,0,0,0,11.58,0,0.71,386.76,0,1.6,0,4.52,46.41,0.88,0,99.99,0,0,1.01,0,0,0,0,0,0,0,175.81,0,2.56,0,0,0
 72-82,0,0,5.3,32.6,0,0,578.69,0,0,0,0,34.92,0,1.55,58.16,0,0,9.73,0,0,0,0,0,0,0,55.03,0.87,0.49,1.89,0.71,0
 84-94,0,0,1,27.85,0,0,348.14,0,0,0,0,28.88,0,0,43.61,0,0.66,7.83,0,0,0,0,0,0,0,62.56,0,0.68,0,0.75,0
 96-106,0,0,1.42,12.01,0,8.29,419.95,0,0,0,0,39.61,0,0,40.96,0,0,0,0,1.92,3.6,0,0,0,0,71.36,0,0,3.96,0,0
108-118,0,0,1.53,23.41,0,0,473.38,0,0,0,0,20.72,0,1.55,56.61,0,0,0,0,0,0.58,0,0,0.66,0,30.28,0,1.32,0,0,2.03
120,0,0,2.36,37.21,0,0,816.26,0,0,2.35,0,14.29,6.66,0,124.55,0,0,13.66,0,0,0,0,12.14,0,0,59.16,0,0,0,0,0
