stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste
  3-4,31.45,187.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,144.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,13.04,0,4.7,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.12,0,38.49,0,0,0,0,0,0
 14-21,0,0,0.9,0,0,7.65,0,0,0,0,0,0,0,0,0,0,1.56,2.78,0.96,0,1.88,0,0.88,2.04,0,0
 24-34,0,0,0,0,0,63.27,0,0,0,0,0,0,0,0,0,0.67,0,43.3,0,0,0.64,0,0,0,2.77,0
 36-46,0,0,0,0,0,128.84,0,0,0,0.78,0,0.84,0,0,0,2.81,0,52.31,0,0,1.82,0,0,0,2.15,0
 48-58,0,0,1.15,3.01,0,157.14,0,0,0,1.77,0,0,0,0,0,0.76,0,41.28,0,0,0,0,0,0,4.85,0
 60-70,0,0,0,0,0,390.06,0.7,2.92,0,0.67,0,0.72,0,0,0,0.6,1.15,58.55,0,0,1.67,0,0,0,3.66,0
 72-82,0,0,0,0,0,449.59,0,0,0,3.74,0,0,0,4.71,0,4.58,0,61.38,0.99,0,0,0,0,0,3.64,0
 84-94,0,0,2,0,0,759.33,2.86,9.46,0.62,13.47,0,2.25,0,0.86,0,6.68,0,27.11,0.89,0,10.33,1.4,0,0,0,0
 96-106,0,0,1.2,0,0,522.32,0,0,0,9.19,0,0.79,0.7,0,1.48,2.9,0,38.03,0,0,1.74,0,0,0,0,0.88
108-118,0,0,2.01,0,0,450.61,0,0,0,6.82,0,0.64,0,1.34,0,0,1.78,23.13,0.95,0,0,0,0,0,0,0
120,0,0,0,0,1.23,295.74,0,0,0,16.18,0,16.29,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0
