stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.53,189.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,160.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,6.33,18.38,0,0,0,32.28,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0,219.2,9.51,0,0,49.9,0,0,3.47,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.9,75.39,0,8.31,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.9,12.1,0,0,208.56,0,0,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,1.84,219.94,5.03,0,19.66,0,0.95,0,2.86,1.84,0,5.13,0,0.87,0.87,0.93,0,0,20.98,0,0,22.4,134.37,6.43,0,3.91,1.71,0,1.11,0,18.31,1.71,10.86,47.49,45.24,0,0,0.93,0,0
 24-34,0.88,0,5.6,198.65,1.24,0,29.94,0.72,15.35,2.59,11.36,0,0,3.65,0,0.64,0.85,2.55,0,3.92,106.97,7.31,0,39.87,409.5,14.36,1.38,14.9,0,0.99,3.22,0,0,0.7,4.97,19.19,113.74,0,0,29.84,0,4.38
 36-46,0,0,0,138.84,0,0,46.78,10.43,10.39,1.13,40.73,1.39,0,3.66,0,0,13.73,1.86,0,0,132.83,0.56,1.73,32.94,204.96,17.19,2.5,11.8,0,0,5.51,0,0,0,12.35,0,94.75,0,0,22.71,0,3.34
 48-58,0,0,0,78.98,0,0,60.37,2.57,18.12,5.21,50.67,0,0,4.52,0.64,0,0.43,1.08,1.37,8.39,114.72,2.38,1.29,40.24,129.6,19.09,0.38,14.36,0,1.75,3.62,0,0,0.74,0.86,0,78.8,0,0,11.34,0,17.59
 60-70,0,0,0,129.14,0,0,61.15,7.32,27.92,5.58,60.59,0,0,0.7,1.88,4.11,9.1,1.2,0,6.35,202.74,0,1.52,27.79,97.02,5.08,0,13.77,0,0,1.32,0,0,4.67,0.76,0,21.94,0,3,2.85,0,8.82
 72-82,0,0,0,71.47,7.14,0,41.41,9.97,27.87,6.91,75.45,2.02,0,0,2.14,3.48,10.64,2.21,0,0,203.39,0,6.69,30.58,91.5,7.47,0.5,14.31,0,0,1.93,0,0,0,0,0,2.6,1.23,0,14.89,2.46,13.76
 84-94,1.23,0,0,129.77,4.16,0,57.67,3.83,52.1,4.46,76.66,2.5,0,10.53,5.16,2.88,11.65,12.19,2.63,12.42,142.26,0.71,7.73,10.6,67.08,26.18,1.37,24.68,0,1.75,12.02,0,0,1.63,9.21,0,11.67,0,5.08,10.84,5.81,3.08
 96-106,0,0,0,96.22,1.61,4.61,19.7,10.59,35.16,4.18,75.73,2.57,0,5.3,3.89,3.16,17.43,1.9,9.53,1.47,137.26,0.56,2.52,8.9,80.14,1.22,0.56,15.57,0,8.29,4.87,0,0,0,1.79,0,4.7,0.87,0.89,7.71,1.54,24.4
108-118,0,0,0,142.89,16.06,0.92,47.37,3.7,46.1,6.88,78.88,0.44,0,0,4.3,3.46,27.39,1.67,1.52,7.52,178.27,4.6,12.14,19.66,63.93,6.94,1.65,43.64,0,3.49,1.76,0,0,2.32,0.96,0,0.42,0,2.47,18.39,1.07,23.67
120,0,0,0,225.67,0,0,43.22,16.75,42.13,0,193.67,7.48,0,13.03,0,5.2,25.31,1.12,2.08,4.02,203.74,3.43,2.61,35.08,60.54,1.1,7.45,26.32,0,0,5.99,0,0,1.83,4.34,0,0,0,16.11,15.25,8.22,9.7
