stage,eye,mesenchyme,neural,spinal.cord
 14-21,0,0,0,0.94
 24-34,0,0.62,0.9,0
 36-46,0,0,3.14,0
 48-58,3.7,0,3.52,0.57
 60-70,2.69,0,2.89,1.17
 72-82,1.12,1.59,9.86,0
108-118,0,1.76,3.4,0
