stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,31.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
 36-46,0,0,0,1.04,0,0,0,0,0,0,0,0.57,4.54,13.93,0,0,1.14,0,0,0,0,0
 48-58,0,5.84,0,0,0,0,0.98,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0
 60-70,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0
 72-82,0,16.11,0,7.07,0,0,0,0.91,0,0,0,0,0,5.89,0,0.73,0,0,0,0,0,0
 84-94,0,242.39,0,0,0,0,3.07,1.76,3.01,0,1.84,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,285.47,2.17,13.89,10.01,1.08,0.72,6.66,30.85,6.02,4.07,1.97,0,46.31,1.48,8.24,0,3.36,0,0,0,0
108-118,0,415.68,0,0,0.92,0,0,3.79,8.54,6.36,1.99,1.79,0,51.84,0,0,0,1.69,0,0,0,0
120,0,305.65,0,7.81,2.58,0,0,0,27.91,0,0,0,0,191.01,0,4.71,0,0,2.12,16.47,0,8.85
