stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,taste,vasculature
  7-9,0,0,4.09,0,0,0,0,0,0,0,0,3.64,0,11.36,0,0
 10-12,0,0,13.38,0,0,0,0,0,0,0,0,12.14,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0
 24-34,0,0,0,0,0,0,0,0.73,0,0,0,2.95,0,17.11,0,0
 36-46,0,0,1.09,0,0,0,0,0,0,0,0,1,0,20.38,0,0
 48-58,0,0,0,0.74,0,0,0,0,0,0,0,4.6,0.39,17.11,0,0
 60-70,0,0,0,0,5.07,0,0,0,0,0,0,0.91,0,18.13,0,0
 72-82,0,3.38,0.79,3.26,115.1,0,0,0,0,0,0,2.89,0,17,0,0
 84-94,0,2.64,0,0.59,67.04,0,0,0,0,0.83,0,1.3,0.6,30.26,0,0.61
 96-106,0,8.12,2.41,0,335.57,0,1.7,0,0,2.63,0.83,9.93,0,17.14,2.03,0
108-118,0,9.94,1.3,0,323.07,0,0,0.52,0.63,3.5,0,11.82,1.53,19.91,0,1.24
120,3.17,14.2,0,1.14,239.1,2.48,7.32,0,7.47,0,0,21.23,0,27.57,0,3.67
