stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,4.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,4.86,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,24.26,0.98,0,0,1.19,0,4.03,4.51,0,0,0.81,1.08,0,0,0,0,0
 24-34,0,0,0,5.19,0,0,2.8,0,0,0.8,3.27,0,0,0,0,0,0,0,0.95,9.35,0,1.74,47.21,0,0,0,0,0,0,0,0,0,0,13.23,0,0,0,0,0
 36-46,0,0,0,0.68,0,0,9.32,0,0,0.82,1.6,0,0,0,0,0,1.15,0,0,4.92,0,2.92,79.01,0,0.6,0.76,0,0,38.11,0,0,1.56,0,21.89,0,0,4.21,0,1.54
 48-58,0.58,0,0,0,0,0,6.14,0,0,0,5.77,0,1.59,0,0.39,0,0,0,0,10.29,0,1.17,72.66,0.88,0,5.01,0,0,3.13,0,0,0,0,19.21,0,0.49,1.28,0,2.53
 60-70,0,0,0,5.54,0,0,63.83,0.62,0,0.87,22.5,0,1.01,0.6,0,0,0,0,1.94,90.64,0,4.87,100.46,0,0,0,0,1.22,9.66,0,0,0.62,0,27.1,0,3.31,7.23,0,0
 72-82,0,0,0,1.08,7.42,0,39.13,0.8,0,0,12.42,0,0.86,6.48,0,1.27,2.8,0,0,35.27,0,4.94,72.62,2.91,0.49,0,0,0,7.12,0,0,0,0,11.07,3.4,0,6.24,4.52,0
 84-94,0,0,0,4.65,0,0,24.03,0,1.42,0,29.55,0.63,4.38,2.51,0.73,0,0.69,0,0.88,24.89,0,0,66.19,0.73,3.38,0.57,0,0,6.05,0,0.67,0,0,6.56,0.9,0,1.97,0,0.73
 96-106,0,0,0,3.86,21.3,1.07,10.6,0.8,0.66,0,1.4,2.08,0.73,3,0,0.89,0.66,0.63,0,33.96,0,1.38,49.79,0,0,1.89,0,0,18.7,0,0,4.11,0,2.93,1.26,2.83,4.5,0,0
108-118,0,0,2.91,4.53,1.14,5.16,36.1,0,0,3.72,18.34,0,0,0.64,0.42,0,1.72,0,1.36,38.13,2.37,6.04,74.23,0.62,0.48,1.96,0,0,12.21,0,0.5,3.18,0,2.99,0,0,10.28,3.61,0
120,0,0,0,11.04,0,0,18.31,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,35.87,0,0,0,0,0,2.78,0,0,0,0,7.84,0,0,1.51,0,0
