stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,0,83.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,8.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,321.17,0,0,47.19,0,0,0,11.28,0,0,0,0,0,0
 14-21,0,0,0,16.08,1.61,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,19.86,16.62,920.07,0,2.08,1.8,0,0,0.88,0,323.02,225.09,1.41,0,0,0
 24-34,0,0,0,7.76,0,0,24.97,114.83,4.15,0,0,0,1.21,1.63,0,0,0,5.91,0.69,0,42.1,77.79,22.51,0,0.62,0,3.05,0,0,0,132.68,135.67,15.9,0,0,0
 36-46,0,0,0,21.84,0,0,61.8,142.17,0,0,1.25,0,0,0,0.56,0.66,0,0.58,0,8.23,21.3,64.14,6.61,0,0,0,1.13,0.81,0,0,187.05,3.94,17.93,0,1.51,4.64
 48-58,0,0,0,0,0,0,236.05,78.97,0,0,6.22,0,0,0,0,0,0.56,13.15,0,0,22.06,121.47,51.52,0,0,0,1.62,0,0,7.59,87.78,0,7.67,0,0,0
 60-70,0,0,0,1.47,1.4,0,816.25,87.25,0,0,0.87,0,1.29,0,0,0,0,11.03,0,2.88,19.98,83.73,46.04,0,0,0,16.48,0,0,0,29.8,0,7.48,0,0.66,0
 72-82,0,0,0,2.04,0,0,407.71,53.29,0,1.54,8.23,0,0,0,0,0,0,17.59,0,5.07,12.7,68.68,24.6,0,0,0,0,0,0,0,17.4,0,15.02,1.33,0.6,8.32
 84-94,0,0,0,7.17,0,0,412.74,44.93,9.46,0,8.07,0,0,0,3.41,0,0.73,24.54,0,1.03,8.42,45.12,42.95,0,0,0,1.83,0,0,0,15.72,0,1.28,0,9.41,0
 96-106,0,0,0,0,1.28,2.87,302.47,49.93,0,0,21.95,0,0.95,1.32,0,0,0.6,11.37,0,1.11,15.33,43.77,25.52,0.92,0,0,7.86,0,0,0,11.53,0,2.36,0,4.52,0
108-118,0,0,0,2.27,0,0,219.26,71.41,0,2.28,5.93,0.46,0,1.51,0,0,0,15.5,0,0,11.85,26.35,57.97,1.47,0,0,6.61,0,0,0,8.06,0,1.26,0.99,0,4.31
120,0,0,0,6.21,4.26,0,384.79,32.1,2.21,0,59.35,1.92,0,0,0,0,0,3.41,0,0,12.87,62.43,61.96,0,0,0,0,0,0,0,3.12,0,4.41,0,0,0
