stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
 14-21,1.04,2.68,0,0,0,4.47,0.81,0,0,0,0,2.55,1.32,3.65,0,0,0.8,2.16,5.86,14.5,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.98,0.62,3.85,0,0,0,0,0,4.75,0
 36-46,0,0,0,0.83,0,1.49,0,0,0,0,0,0.64,0,17.67,0,0,0,0,1.34,2.45,0
 48-58,0,0,3.66,0,0,0.99,0,0,0,0,0,0.6,0,3.1,0,0.74,0,0,0,8.46,0
 60-70,0,0,0,0,0,0,0,0,0,3.59,0,0,0,8.07,0,0,0,0,0.68,12.52,3.22
 72-82,0,0,0,6.32,0,3.36,0,0,0,0,0,0.77,0,9.62,1.3,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.91,0,0,0,0,0,2.12,0,2.96,0,0.65,0,0,0,1.08,0
 96-106,0,0,0,1.18,0.58,0,0,0,0,0,0,0.62,0,6.6,0,0,0,0,0,1.03,2.45
108-118,0,0,0,9.96,0,5.48,0,0.69,0.45,0,0,1.05,0,6.5,0,0,0,0,0,0,0
120,0,0,0,4.76,0,0,0,0,0,0,3.89,0,0,9.68,0,0,0,0,0,0,0
